Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la 17beta-HSD3 e bloquer la croissance de tumeurs xenogreffees du cancer de la prostate,"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,157880,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,10/1/2012,2013-09-30,"17beta-HSD3, inhibiteur, prostate",1
evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la steroede sulfatase combinant des proprietes osteogenique et antiestrogenique pour le traitement des cancers du sein et de la prostate,"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,159756,0,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; OSTEOPOROSIS; CANCER; DRUG RESEARCH,4/1/2014,2015-03-31,"steroide sulfatase, osteogenique, cancer",0
Optimisation du potentiel therapeutique de derives aminosteroedes contre le cancer de l'ovaire,"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,157700,2300,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,4/1/2016,2017-03-31,"aminosteroids, ovarian cancer, therapeutic potential",1
Demonstration de l'efficacite du premier inhibiteur irreversible et selectif de la  17beta-HSD1 pour le traitement des cancers du sein sensibles aux estrogenes,"Poirier, Donald",Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,279226,0,2 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2018,2020-03-31,"17beta-HSD1, inhibitor, breast cancer",2
Development of novel OXE receptor antagonists for asthma,"Powell, William S",McGill University,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,146000,0,1 yr 0 mth ,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,7/1/2009,2010-06-30,"OXE receptor, antagonists, asthma",2
Development of novel OXE receptor antagonists for asthma,"Powell, William S",McGill University,Quebec,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,293133,0,1 yr 0 mth ,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,7/1/2009,2010-06-30,"OXE receptor, antagonists, asthma",2
A-CD estrogens as alternatives to Estrogen-based hormone replacement therapy,"Pratt, Christine M",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,156060,0,1 yr 0 mth ,Gender and Health,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; ENDOCRINOLOGY; DRUG RESEARCH; HEALTH RESEARCH,10/1/2012,2013-09-30,"A-CD estrogens, hormone replacement",1
Validation of a glycerolipid/ free fatty acid cycling enzyme as a novel therapeutic target for type-2 diabetes,"Prentki, Marc",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,157925,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; DRUG RESEARCH,10/1/2011,2012-09-30,"glycerolipid, fatty acid, enzyme",4
Development of Novel Polar MAO B Inhibitors for the Treatment of Epithelial Barrier Diseases,"Putnins, Edward E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH,10/1/2014,2015-09-30,"MAO B, Inhibitors, Epithelial Barrier",1
Artery Alert - Revolutionizing the Diagnosis of Peripheral Arterial Disease,"Qadura, Mohammad",Unity Health Toronto,Ontario,Project Grant,202109PJT,Commercialization,428400,0,4 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",4/1/2022,2026-03-31,"artery, diagnosis, peripheral arterial disease",0
Monitoring progression of malignant tumors by detection of blood-borne oncogenic epidermal growth factor receptor circulating as cargo of tumor-derived microvesicles,"Rak, Janusz",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; CELL BIOLOGY,1/1/2009,2009-12-31,"malignant tumors, blood-borne, epidermal growth factor receptor",4
INDEL therapeutics for the treatment of infectious disease.,"Reiner, Neil E",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,250000,0,1 yr 0 mth ,Infection and Immunity,"INFECTIOUS AND PARASITIC; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; DRUG RESEARCH",1/1/2009,2009-12-31,"INDEL, therapeutics, infectious disease",1
Androgen receptor inhibitors,"Rennie, Paul S",University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; ENDOCRINOLOGY; CANCER; DRUG RESEARCH,7/1/2009,2010-06-30,"Androgen receptor, inhibitors",10
Phase 1 Trial of a novel transvenous phrenic nerve pacer for diaphragm activation in mechanically ventilated critically ill patients.,"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,158464,1536,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,4/1/2013,2014-03-31,"phrenic nerve, pacer, diaphragm",2
"Development of a novel, temporary, transcutaneously placed, transvenous phrenic nerve pacer for diaphragm activation in critically ill patients","Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,268499,2000,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,4/1/2015,2016-03-31,"phrenic nerve, transvenous, diaphragm",2
Matriptase Inhibitors as a Novel Class of Influenza Antivirals,"Richter, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,143827,0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,4/1/2012,2013-03-31,"Matriptase, Inhibitors, Influenza",2
Pharmaceutical intervention to decrease the threat of hypoglycemia in insulin-treated diabetics,"Riddell, Michael C","York University (Toronto, Ontario)",Ontario,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,160000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; METABOLISM/DIABETES,10/1/2011,2012-09-30,"pharmaceutical, hypoglycemia, insulin",1
Evaluation of the anticancer activity of a new autophagy-inhibitory drug,"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,142989,0,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; LUNG CANCER THERAPY; CANCER; BIOCHEMISTRY,4/1/2010,2011-03-31,"autophagy, anticancer, inhibitor",0
Preclinical Development of a novel M2 Channel Inhibitor for the Treatment and Prevention of Influenza,"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,4/1/2014,2015-03-31,"M2 Channel, Inhibitor, Influenza",0
Preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon.,"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,150059,0,1 yr 0 mth ,Genetics,MULTIPLE DISEASE RELEVANCE; CANCER THERAPY GENERAL; CANCER; GENETICS,4/1/2016,2017-03-31,"gentamicin, genetic diseases, cancer",2
Cell therapy for the treatment of type 1 Diabetes,"Rogers, Ian M",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM/DIABETES,4/1/2010,2011-03-31,"Cell, therapy, Diabetes",1
The Use of Multipotential Stem Cells for the Treatment of Peripheral Vascular Disease,"Rogers, Ian M",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,160000,0,1 yr 0 mth ,Circulatory and Respiratory Health,NONE OF THE ABOVE; CORONARY CIRCULATION (INCL. INSUFFICIENCY); NOT CLASSIFIED; CARDIOVASCULAR,4/1/2011,2012-03-31,"Stem cells, Vascular disease, Peripheral",1
A Novel Regenerative Drug Therapy to Restore Natural Insulin Secretion in Diabetes Mellitus,"Rosenberg, Lawrence",McGill University,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,122670,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; METABOLISM/DIABETES,4/1/2013,2014-03-31,"Regenerative, Insulin, Diabetes",1
Development and Testing of Small Molecule Allosteric Modulators for the Treatment of Pain.,"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,157999,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; ARTHRITIS/OSTEOARTHRITIS; DRUG RESEARCH; AGING,4/1/2013,2014-03-31,"Small Molecule, Allosteric Modulators, Pain",2
Development and Commercialisation of Allosteric Modulators for the Treatment of Pain,"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,189920,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,MULTIPLE DISEASE RELEVANCE; MUSCULO SKELETAL,4/1/2015,2016-03-31,"Allosteric, Modulators, Pain",2
Development and therapeutic validation of GPR55 modulators for the treatment of osteoclast-mediated disorders,"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,155600,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; BONE CANCER; MUSCLE, BONE, OR JOINT; CANCER",4/1/2016,2017-03-31,"GPR55, modulators, osteoclast",1
Preclinical evaluation of sintokamides as agents for treatment of advanced prostate cancer,"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,4/1/2010,2011-03-31,"sintokamides, prostate cancer, preclinical",0
Translational Development Program For Analogues of EPI-001 (PNG01-185) Compounds For the Treatment of Advanced Prostate Cancer,"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,300000,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; DRUG RESEARCH,10/1/2011,2012-09-30,"EPI-001, Prostate Cancer, Analogues",7
Real-time Ultrasound Quantitative Elastography of the Prostate,"Salcudean, Septimiu E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,143074,10850,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,4/1/2013,2014-03-31,"Ultrasound, Elastography, Prostate",5
Developpement de composes antineoplasiques radiosensibilisants achemines par nano transporteur liposomal.,"Sanche, Leon",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,159149,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; BRAIN TUMORS THERAPY; CANCER; DRUG RESEARCH,10/1/2012,2013-09-30,"antineoplasiques, radiosensibilisants, liposomal",0
Evaluation of Nanoparticles for the Treatment of Autoimmune Conditions,"Santamaria, Pere",University of Calgary,Alberta,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,ENDOCRINOLOGY; DIABETES MELLITUS; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,1/1/2009,2009-12-31,"Nanoparticles, Autoimmune",3
Neuroprotection Rescue Strategies for Retinal Degeneration Diseases,"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,250000,0,1 yr 0 mth ,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; AGING; VISION,4/1/2010,2011-03-31,"Neuroprotection, Retinal, Degeneration",5
Cancer vaccines targeting the ganglioside tumor-marker GD2,"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,157600,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; IMMUNOLOGY-TRANSPLANTATION,10/1/2012,2013-09-30,"cancer, vaccines, GD2",6
Therapy for motor neuron degeneration diseases targeting the opposing ligand-dependent signals of two TrkC receptor isoforms,"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,300000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",AMYOTROPHIC LATERAL SCLEROSIS (ALS); DISEASES AFFECTING SPEECH/VISION/HEARING; NERVOUS SYSTEM; DRUG RESEARCH,4/1/2016,2017-03-31,"motor neuron, TrkC, receptor",5
Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant - PA: Cancer Research - Cancer Prevention,202010PXX,Commercialization,100000,0,1 yr 0 mth  ,Cancer Research,"Commercialization-Technology Transfer; Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; glycomics. We quantify gangliosides which are glycolipids with a glycan and a lipid component",10/1/2021,2023-09-30,"Liquid biopsy, ovarian cancer, diagnosis",5
Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202104PJT,Commercialization,650251,0,2 yr 0 mth  ,Cancer Research,"Commercialization-Technology Transfer; Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; glycomics. We quantify gangliosides which are glycolipids with a glycan and a lipid component",10/1/2021,2023-09-30,"Liquid biopsy, ovarian cancer, diagnosis",5
Sensorless Adaptive Optics Optical Coherence Tomography for Clinical Ophthalmology,"Sarunic, Marinko V","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,201809PJT,Commercialization,493425,0,3 yrs 0 mth ,Aging,Biomedical Engineering-Biomedical Imaging,4/1/2017,2018-03-31,"Adaptive optics, Optical coherence tomography, Ophthalmology",3
Novel Inhibitors of Viral Infectivity,"Schang, Luis M",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,VIRAL; LIVER DISEASE; VIROLOGY; GASTROINTESTINAL (LIVER),7/1/2009,2010-06-30,"Viral, Inhibitors, Infectivity",0
Repositioning tigecycline for the treatment of leukemia,"Schimmer, Aaron D",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,156750,0,1 yr 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER; CELL BIOLOGY,4/1/2011,2012-03-31,"tigecycline, leukemia, repositioning",1
Preclinical evaluation of a truly human monoclonal antibody for the therapy of infections with a broad spectrum of influenza viruses,"Schrader, John W",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,4/1/2011,2012-03-31,"monoclonal antibody, influenza viruses, infections",2
Preclinical evaluation of antimicrobial ultrashort aminoglycoside- peptide conjugates,"Schweizer, Frank",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; HEALTH RESEARCH,1/1/2009,2009-12-31,"antimicrobial, aminoglycoside, peptide",11
Optimization and preclinical studies on amphiphilic aminoglycoside antimicrobials (AAAs),"Schweizer, Frank",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; HEALTH RESEARCH; DRUG RESEARCH,4/1/2012,2013-03-31,"amphiphilic, aminoglycoside, antimicrobials",7
Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,"Schweizer, Frank",University of Manitoba,Manitoba,Project Grant - Priority Announcement: Infection and Immunity,201909PJ4,Commercialization,100000,0,1 yr 0 mth  ,Infection and Immunity,"Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",3/1/2020,2021-02-28,"beta-lactam, beta-lactamase, antibiotic",3
Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,"Schweizer, Frank",University of Manitoba,Manitoba,Project Grant,202003PJT,Commercialization,654075,0,4 yrs 0 mth ,Infection and Immunity,"Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",3/1/2020,2021-02-28,"beta-lactam, beta-lactamase, antibiotic",3
Validation of PCSK9 single domain antibodies in cholesterol regulation in humanized mice,"Seidah, Nabil G",Institut de recherches cliniques de Montreal,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,186128,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM AND NUTRITION; CARDIOVASCULAR; METABOLISM/DIABETES,4/1/2013,2014-03-31,"PCSK9, antibodies, cholesterol",2
Preclinical Development of Novel Biomaterials for the Creation of a Deviceless Pre-Vascularized Site for Islet and Cellular Transplantation,"Shapiro, James",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,157126,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,4/1/2016,2017-03-31,"Biomaterials, Prevascularized site, Transplantation",0
A novel eye drop platform to improve ocular therapies,"Sheardown, Heather D",McMaster University,Ontario,Project Grant,202109PJT,Commercialization,531674,0,3 yrs 0 mth ,Aging,"Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",4/1/2022,2025-03-31,"eye drop, ocular, therapies",0
Recombinant hydrolases as anti-biofilm therapies for Aspergillus infections,"Sheppard, Donald C",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,151459,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; PNEUMONIA; BACTERIOLOGY; IMMUNOLOGY-TRANSPLANTATION,10/1/2015,2016-09-30,"recombinant hydrolases, anti-biofilm, Aspergillus",1
Treatment Planning and Guidance Software Platform for Minimally Invasive Ablation Therapies,"Sherar, Michael D",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,145925,10000,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BIOPHYSICS; CANCER,4/1/2013,2014-03-31,"Ablation, Guidance, Software",1
Development of an RNA-based test for diagnosing and monitoring bone and soft tissue cancers,"Shlien, Adam",Hospital for Sick Children (Toronto),Ontario,Project Grant,202303PJT,Commercialization,240976,0,1 yr 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning,10/1/2023,2024-09-30,"RNA, diagnosis, cancers",1
Commercial Development of Bioengineered Therapeutic Strategy for Spinal Cord Injury,"Shoichet, Molly S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,159996,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; NERVOUS SYSTEM,10/1/2010,2011-09-30,"Bioengineered, Therapeutic, Spinal Cord Injury",2
Novel therapeutic targeting for cognitive deficits in depression and aging,"Sibille, Etienne",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,201803PJT,Commercialization,550800,0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Mental Health and Behavioural Conditions-Mental Health and Addiction; Aging-Aging Process and Biological Determinants of Aging,10/1/2018,2021-09-30,"therapeutic, cognitive deficits, depression",4
Highly specific therapeutic-grade anti-FGFR1 antibodies with anti-proliferative effects,"Sidhu, Sachdev S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CANCER,10/1/2015,2016-09-30,"anti-FGFR1, antibodies, anti-proliferative",0
High Quality Sperm Selection for Assisted Reproductive Technology,"Sinton, David A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,159904,0,1 yr 0 mth ,"Human Development, Child and Youth Health",INFERTILITY MALE; INFERTILITY FEMALE; REPRODUCTION/PREGNANCY,4/1/2015,2016-03-31,"Sperm, Selection, Reproductive",4
Development of ganglioside-based therapies for Huntington's disease,"Sipione, Simonetta",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,159196,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",HUNTINGTON'S DISEASE; MULTIPLE DISEASE RELEVANCE; NERVOUS SYSTEM; CELL BIOLOGY,10/1/2011,2012-09-30,"ganglioside, Huntington's disease, therapies",1
NLRP7-based diagnosis of female reproduction wastage,"Slim, Rima",McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,160000,0,1 yr 0 mth ,Genetics,PREGNANCY/BIRTH; PERINATAL; GENETICS; REPRODUCTION/PREGNANCY,10/1/2012,2013-09-30,"NLRP7, diagnosis, female reproduction",0
Identification of SLC26A11 blockers to prevent neuronal swelling and cell death,"Snutch, Terrance P",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",CNS ORGANIC; MULTIPLE DISEASE RELEVANCE; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2016,2017-03-31,"SLC26A11, blockers, neuronal swelling",0
Identification of novel compounds inhibiting viral infections,"Sonenberg, Nahum",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,VIRAL; MULTIPLE DISEASE RELEVANCE; VIROLOGY; MOLECULAR BIOLOGY,1/1/2009,2009-12-31,"compounds, inhibiting, viral infections",0
GAL-7-specific nanobodies for treatment of triple-negative breast cancer,"St-Pierre, Yves","INRS - (Quebec, QC)",Quebec,Project Grant,201809PJT,Commercialization,371024,0,3 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property,4/1/2019,2022-03-31,"GAL-7, nanobodies, breast cancer",3
"Development of the Mammalian Membrane Two-Hybrid (MaMTH) technology, a novel protein interaction and drug discovery tool","Stagljar, Igor",University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; MOLECULAR BIOLOGY; BIOCHEMISTRY,4/1/2013,2014-03-31,"Membrane, Two-Hybrid, Protein interaction",3
Development of a new therapy targeting adipose tissue metabolism for the treatment of obesity,"Steinberg, Gregory R",McMaster University,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",OBESITY; ENDOCRINOLOGY; METABOLISM/DIABETES,10/1/2014,2015-09-30,"adipose tissue, metabolism, obesity",4
Chimeric Oncolytic Virus for Brain Cancer Treatment,"Stojdl, David F",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; CANCER THERAPY GENERAL,10/1/2013,2014-09-30,"Chimeric, Oncolytic Virus, Brain Cancer",3
The SmartForceps System: An intelligent and innovative tool technology for recording surgical performance and skill,"Sutherland, Garnette R",University of Calgary,Alberta,Project Grant,201709PJT,Commercialization,520200,0,3 yrs 0 mth ,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Services and Systems-Healthcare Safety & Quality Improvement",4/1/2018,2021-03-31,"SmartForceps, surgical, recording",2
An Intelligent Workstation for Robot-Assisted Microsurgery & Tele-Operations,"Sutherland, Garnette R",University of Calgary,Alberta,Project Grant,202303PJT,Commercialization,780300,0,3 yrs 0 mth ,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2023,2026-09-30,"Robot-assisted, Microsurgery, Tele-operations",0
A Novel Injectable Chitosan Sponge Containing BMP-7 as a Therapeutic Intervention for Accelerated Bone Formation in a Critical Size Defect Rat Model,"Tabrizian, Maryam",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"BONE CANCER; INJURY, REGENERATION; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",10/1/2014,2015-09-30,"Chitosan, BMP-7, Bone Formation",1
