Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
Integrin Linked Kinase as a Novel Therapeutic Target for Heart Failure,"Coles, John G",Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Commercialization,512550,0,3 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",4/1/2018,2021-03-31,"Integrin, Kinase, Heart Failure",0
Novel therapeutic approach for 'wet' and 'dry' age-related macular degeneration,"Conway, Edward M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; AGING,10/1/2014,2015-09-30,"age-related macular degeneration, therapeutic, dry wet",0
Pro-Neck-Tor: A helmet to prevent spinal cord injuries occuring during sports and transportation,"Cripton, Peter A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,149752,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; NERVOUS SYSTEM",7/1/2009,2010-06-30,"helmet, spinal cord, injuries",2
Three-dimensional Catheter Tracking using a Single Two-dimensional Image,"Crystal, Eugene","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,130077,12873,1 yr 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; IMAGING; CARDIOVASCULAR,4/1/2010,2011-03-31,"catheter, tracking, imaging",4
Developing a Novel Therapeutic for Cushing's Syndrome,"Cummins, Carolyn L",University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",ENDOCRINOLOGY; MUSCULO SKELETAL; DRUG RESEARCH,4/1/2014,2015-03-31,"Cushing's Syndrome, Therapeutic",0
Wire for MRI-Guided Interventions,"Cunningham, Charles H","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,139840,8395,1 yr 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMAGING; CARDIOVASCULAR,10/1/2010,2011-09-30,"Wire, MRI, Interventions",1
Novel peptide as potential therapeutic for treatment of ischemic stroke,"Cynader, Max S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE",4/1/2012,2013-03-31,"peptide, ischemic stroke",1
"Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection","Dacosta, Ralph S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,121250,24000,1 yr 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,10/1/2011,2012-09-30,"Optical imaging, Intraoperative guidance, Breast tumor",9
An integrated AI-powered platform for cell analytics,"Daugaard, Mads",University of British Columbia,British Columbia,Project Grant,202403PJT,Commercialization,730576,0,4 yrs 0 mth ,Cancer Research,Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning; Methods Development and Modelling-Qualitative Methods Development for Health Research,10/1/2024,2028-09-30,"AI, cell, analytics",0
A Non-Traumatic Binder for Temporary Abdominal Wall Closure,"de Rezende, Joao B",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,115768,0,1 yr 0 mth ,Infection and Immunity,NONE OF THE ABOVE; NOT CLASSIFIED,10/1/2015,2016-09-30,"Binder, Abdominal Wall, Closure",0
Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,"DeWitte-Orr, Stephanie","Wilfrid Laurier University (Waterloo, Ontario)",Ontario,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,100000,0,1 yr 0 mth ,Infection and Immunity,"Immunology and Infection-Virology; Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",3/1/2023,2024-02-29,"intranasal, dsRNA, coronaviruses",0
