Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Allard, Michael F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols,150000.0,0.0,1.0,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CARDIOVASCULAR; DRUG RESEARCH,7/1/2009,"heart, metabolism, polyglycerols",0.0,,0.0,,36,8
"Alman, Benjamin A",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Nefopam as an agent to prevent and treat hyperplastic scars,159975.0,0.0,1.0,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",10/1/2010,"Nefopam, hyperplastic scars",1.0,,0.0,,37,9
"Andersen, Raymond J",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,"Latonduine A, A Potent delF508-CFTR Trafficking Defect Corrector With Potential for Treating Cystic Fibrosis",159750.0,0.0,1.0,Circulatory and Respiratory Health,RESPIRATION; INFECTIOUS AND PARASITIC; DRUG RESEARCH,10/1/2010,"Latonduine, CFTR, Cystic Fibrosis",0.0,,0.0,,38,10
"Arthur, Gilbert",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Preclinical development of glycerophosphocarbamates as prostate-selective anticancer drugs,137617.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2009,"glycerophosphocarbamates, prostate, anticancer",0.0,,0.0,,315,11
"Banerjee, Diponkar",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,150000.0,0.0,1.0,Cancer Research,NEOPLASMS; NONE OF THE ABOVE; CANCER; MOLECULAR BIOLOGY,1/1/2009,"Tissue, Cytology, Microarray",0.0,,0.0,,39,12
"Bear, Christine E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202403PJT,Commercialization,Preclinical studies of a novel CFTR potentiator for commercialization as a therapy for chronic obstructive pulmonary disease.,325125.0,0.0,2.0,Circulatory and Respiratory Health,Commercialization-Technology Transfer,10/1/2024,"CFTR, potentiator, pulmonary disease",0.0,,0.0,,40,13
"Beaulieu, Jean-Franeois",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Improving the diagnosis of colorectal cancer using fecal mRNA and protein markers: The integrin alpha 6A subunit,160000.0,0.0,1.0,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; GASTROINTESTINAL (LIVER); CANCER,4/1/2014,"colorectal cancer, fecal mRNA, integrin alpha 6A",0.0,,0.0,,41,14
"Beaulieu, Martin",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Cells lines for screening GPCR/Nav signaling compound,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CELL BIOLOGY,10/1/2013,"cells, GPCR, signaling",1.0,,0.0,,42,15
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Commercialization,Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,100000.0,0.0,1.0,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,3/1/2023,"body composition, CT images, precision medicine",0.0,,0.0,,43,16
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202303PJT,Commercialization,Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,956250.0,0.0,3.0,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,10/1/2023,"AI, body composition, cancer",0.0,,0.0,,44,16
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Increasing vaccine manufacturing output using viral sensitizer technology,136750.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,4/1/2011,"vaccine, manufacturing, viral sensitizer",3.0,Turnstone Limited Partnership (Turnstone Biologics inc.),1.0,C-suite,24,17
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Biological Viral Sensitizers for GMP Manufacturing,123000.0,37000.0,1.0,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; VIROLOGY,4/1/2014,"Viral, Sensitizers, Manufacturing",4.0,Turnstone Limited Partnership (Turnstone Biologics inc.),1.0,C-suite,25,17
"Benard, Francois",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,"Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours",160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,10/1/2015,"[18F], imaging, neuroendocrine",8.0,Alpha-9 Oncology Inc.,1.0,C-suite,1,18
