Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Stagljar, Igor",University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,"Development of the Mammalian Membrane Two-Hybrid (MaMTH) technology, a novel protein interaction and drug discovery tool",160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; MOLECULAR BIOLOGY; BIOCHEMISTRY,4/1/2013,"Membrane, Two-Hybrid, Protein interaction",3.0,,0.0,,264,201
"Steinberg, Gregory R",McMaster University,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a new therapy targeting adipose tissue metabolism for the treatment of obesity,160000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",OBESITY; ENDOCRINOLOGY; METABOLISM/DIABETES,10/1/2014,"adipose tissue, metabolism, obesity",4.0,Esperion Therapeutics Inc.; Espervita Therapeutics Inc.,2.0,Patent Inventor; C-suite,5,202
"Stojdl, David F",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Chimeric Oncolytic Virus for Brain Cancer Treatment,160000.0,0.0,1.0,Cancer Research,BRAIN TUMORS THERAPY; CANCER THERAPY GENERAL,10/1/2013,"Chimeric, Oncolytic Virus, Brain Cancer",3.0,Turnstone Limited Partnership (Turnstone Biologics Corp.),1.0,C-suite,23,203
"Sutherland, Garnette R",University of Calgary,Alberta,Project Grant,201709PJT,Commercialization,The SmartForceps System: An intelligent and innovative tool technology for recording surgical performance and skill,520200.0,0.0,3.0,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Services and Systems-Healthcare Safety & Quality Improvement",4/1/2018,"SmartForceps, surgical, recording",2.0,,0.0,,265,204
"Sutherland, Garnette R",University of Calgary,Alberta,Project Grant,202303PJT,Commercialization,An Intelligent Workstation for Robot-Assisted Microsurgery & Tele-Operations,780300.0,0.0,3.0,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2023,"Robot-assisted, Microsurgery, Tele-operations",0.0,,0.0,,266,204
"Tabrizian, Maryam",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,A Novel Injectable Chitosan Sponge Containing BMP-7 as a Therapeutic Intervention for Accelerated Bone Formation in a Critical Size Defect Rat Model,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"BONE CANCER; INJURY, REGENERATION; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",10/1/2014,"Chitosan, BMP-7, Bone Formation",1.0,,0.0,,267,205
"Tamimi, Faleh",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Biocompatible inorganic nanogel system for medical applications,150160.0,0.0,1.0,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INJURY, REGENERATION; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH",4/1/2013,"Biocompatible, nanogel, inorganic",0.0,,0.0,,268,206
"Tavallaei, Mohammad A",Toronto Metropolitan University,Ontario,Project Grant,202403PJT,Commercialization,Design Revisions and Validations of a Catheter Steering and Navigation System For Peripheral Endovascular Revascularization,501076.0,0.0,3.0,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,"Catheter, Steering, Revascularization",0.0,,0.0,,269,207
"Tessier, Philippe A",Universite Laval,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of anti-S100 proteins for the treatment of arthritis,142600.0,0.0,1.0,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; CHRONIC INFLAMMATORY BOWEL DISEASE; IMMUNOLOGY-TRANSPLANTATION; MUSCLE, BONE, OR JOINT",7/1/2009,"S100 proteins, arthritis",6.0,Immunorx Pharma Inc.,1.0,C-suite,7,208
"Towler, Mark R",Toronto Metropolitan University,Ontario,Project Grant,201803PJT,Commercialization,"Development of a Proprietary, Glass-Based Adhesive for Sternal Fixation and Stabilisation.",602438.0,0.0,3.0,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Musculoskeletal Health-Bone, Skin and Cartilage Sciences",10/1/2018,"Glass, Adhesive, Sternal",0.0,,0.0,,270,209
"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of a treatment for Friedreich ataxia based on the administration of TALE proteins targeting the frataxin promoter.,160000.0,0.0,1.0,Genetics,CONGENITAL ANOMALIES; MOLECULAR BIOLOGY,4/1/2013,"Friedreich ataxia, TALE proteins, frataxin",3.0,,0.0,,271,210
"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Alzheimer treatment based on the editing of the Amyloid Precursor Protein gene,159931.0,0.0,1.0,Aging,ALZHEIMER'S DISEASE; AGING; MOLECULAR BIOLOGY; GENETICS,10/1/2015,"Alzheimer, gene editing, Amyloid Precursor Protein",1.0,,0.0,,272,210
"Tremblay, Michel L",McGill University,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases.,158850.0,0.0,1.0,Cancer Research,MULTIPLE DISEASE RELEVANCE; BREAST CANCER THERAPY; BIOCHEMISTRY; DRUG RESEARCH,10/1/2010,"small molecule, tyrosine phosphatases, inhibitors",4.0,Kanyr Pharma Inc.,1.0,C-suite,9,211
"Trifiro, Mark A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Targeting novel BioNanofluids for prostate cancer therapy,148240.0,11000.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY,4/1/2015,"BioNanofluids, prostate cancer, targeting",0.0,,0.0,,273,212
"Tsao, Ming-Sound",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a monoclonal antibody for integrin alpha-11 to treat lung cancer,160000.0,0.0,1.0,Cancer Research,LUNG CANCER; LUNG CANCER THERAPY; CANCER; DRUG RESEARCH,4/1/2015,"monoclonal antibody, integrin alpha-11, lung cancer",0.0,,0.0,,274,213
"Turvey, Stuart E",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Development of a TLR5 antagonist as a novel anti-inflammatory therapy for cystic fibrosis,150000.0,0.0,1.0,Infection and Immunity,IMMUNOLOGY-TRANSPLANTATION; BIOCHEMISTRY,7/1/2009,"TLR5, antagonist, cystic fibrosis",0.0,,0.0,,275,214
"Uludag, Hasan",University of Alberta,Alberta,Project Grant,202210PJT,Commercialization,New Treatment of Blood Cancers with Improved Delivery of Nucleic Acids,100000.0,0.0,1.0,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2023,"Blood cancers, Nucleic acids, Delivery",0.0,,0.0,,276,215
"Underhill, Michael",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Novel Applications of Potassium Channel Blockers in Arthritis,146400.0,0.0,1.0,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; AGING",4/1/2011,"Potassium Channel, Blockers, Arthritis",0.0,,0.0,,277,216
"Unrau, Peter J","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202210PJT,Commercialization,Commercialization of RNA Mango fluorogenic aptamers: RNA Pulldown and Imaging Tools for Therapeutic and Diagnostic pipelines,100000.0,0.0,1.0,Infection and Immunity,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",4/1/2023,"RNA, Fluorogenic, Imaging",0.0,,0.0,,278,217
"Vanner, Stephen J","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202303PJT,Commercialization,Developing a potent non-addictive analgesic as an alternative to conventional opioids,665550.0,0.0,3.0,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Neurosciences-Sensory Systems (including visual, auditory and pain)",10/1/2023,"analgesic, opioids, non-addictive",0.0,,0.0,,279,218
"Verma, Subodh S",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Evaluation of BRCA1 as a Novel Therapeutic Strategy for Endothelial Dysfunction and Atherosclerosis,149998.0,0.0,1.0,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,7/1/2009,"BRCA1, Endothelial Dysfunction, Atherosclerosis",1.0,,0.0,,280,219
"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Tissue engineered cartilage suitable for the repair of clinically-relevant sized defects,148139.0,0.0,1.0,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; BIOPHYSICS",4/1/2010,"tissue engineering, cartilage, repair",1.0,,0.0,,281,220
"Walker, Gilbert C",University of Toronto,Ontario,Project Grant,202403PJT,Commercialization,Development of preclinical data for a phase one clinical trial of a micro-RNA-based formulation to treat early sepsis,508725.0,0.0,2.0,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Respiratory System Pathologies and Clinical Interventions; Commercialization-Technology Transfer; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",10/1/2024,"micro-RNA, sepsis, formulation",1.0,,0.0,,282,221
"Walti, Herve",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure,159252.0,0.0,1.0,Circulatory and Respiratory Health,RESPIRATION; PERINATAL; NOT CLASSIFIED,10/1/2012,"liquid ventilation, respiratory failure, neurological outcomes",0.0,,0.0,,283,222
"Wang, Yuzhuo",University of British Columbia,British Columbia,Project Grant,202109PJT,Commercialization,Optimization and Validation of MCT4-targeting Small Molecule Inhibitors for Treatment of Advanced Cancers,1147500.0,0.0,5.0,Cancer Research,Commercialization-Intellectual Property; Cancer-Cancer Drug Development and Therapeutics,4/1/2022,"MCT4, small molecule, inhibitors",0.0,,0.0,,284,223
"Wasan, Kishor M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,Development of a Novel Oral Amphotericin B Formulation for the Treatment of Systemic Fungal Infections,200000.0,0.0,1.0,Infection and Immunity,null,1/1/2010,"Amphotericin B, oral formulation, fungal infections",5.0,Skymount Medical Inc.; Amphotericin B Technologies Inc. (AmpB Tech),2.0,C-suite,21,224
"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Contact Optical Microscopy,148684.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMAGING; INTERNATIONAL HEALTH,4/1/2010,"Contact, Optical, Microscopy",2.0,,0.0,,285,225
"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Pharmacokinetic Optimization of a New Drug for Alzheimer's Disease,150000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2010,"Pharmacokinetic, Drug, Alzheimer's",3.0,,0.0,,286,225
"Weaver, Donald F",University Health Network (Toronto),Ontario,Project Grant,201709PJT,Commercialization,"Design and Development of Brain Permeant Indoleamine-2,3-Dioxygenase Inhibitors",765000.0,0.0,4.0,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Neurosciences-Neurological disorders",4/1/2018,"brain, indoleamine-2,3-dioxygenase, inhibitors",1.0,,0.0,,287,225
"Webb, John R",University of Victoria (British Columbia),British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Pre-clinical development of Pentarix: a therapeutic vaccine for HPV-associated cancers,160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; IMMUNOLOGY-TRANSPLANTATION,10/1/2010,"Pentarix, vaccine, HPV",1.0,,0.0,,288,226
"Weinfeld, Michael",University of Alberta,Alberta,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Small molecule inhibitor of polynucleotide kinase/phosphatase and uses thereof in cancer treatment.,150000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2010,"small molecule, polynucleotide kinase, cancer",3.0,,0.0,,289,227
"Weksberg, Rosanna",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Implementation and Commercialization of a Novel DNA Methylation-Based Diagnostic Tool,160000.0,0.0,1.0,"Human Development, Child and Youth Health","DETERMINANTS OF HEALTH; MENTAL AND BEHAVIOURAL DISEASES; GENETICS; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2015,"DNA methylation, diagnostic, tool",2.0,,0.0,,290,228
"Whyne, Cari M","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,"""Bone Tape"": Optimization of a novel method for reconstructing the craniomaxillofacial skeleton",160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",4/1/2016,"bone, craniomaxillofacial, reconstruction",2.0,,0.0,,291,229
"Willerth, Stephanie M",University of Victoria (British Columbia),British Columbia,Project Grant,202104PJT,Commercialization,3D bioprinting next generation brain organoids for identifying drug targets for Alzheimer's disease,489600.0,0.0,4.0,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Molecular, Cellular and Systems Biology-Cell Differentiation",10/1/2021,"bioprinting, brain organoids, Alzheimer's",0.0,,0.0,,292,230
"Williams, Jason",Nova Scotia Health Authority (Halifax),Nova Scotia,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,The Production of Decellularized Human Skin to Treat Chronic Diabetic Ulcers,145760.0,0.0,1.0,Musculoskeletal Health and Arthritis,DIABETES MELLITUS; SKIN AND SUBCUTANEOUS TISSUS; HEALTH RESEARCH; METABOLISM/DIABETES,4/1/2014,"Decellularized, Human Skin, Diabetic Ulcers",0.0,,0.0,,293,231
"Wither, Joan E",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development of a test for the early diagnosis and monitoring of lupus nephritis,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"LUPUS; GENITO/URINARY SYSTEM; MUSCLE, BONE, OR JOINT; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2016,"lupus, nephritis, diagnosis",1.0,,0.0,,294,232
"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Novel mechanism-based inhibitors of influenza neuraminidase as potential anti-viral agents,150000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; VIROLOGY; POPULATION HEALTH,4/1/2010,"neuraminidase, inhibitors, influenza",1.0,,0.0,,295,233
"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Novel Influenza Neuraminidase Inhibitors - Development of Orally Bioavailable Agents,297000.0,0.0,1.0,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; POPULATION HEALTH,10/1/2012,"Influenza, Neuraminidase, Inhibitors",3.0,,0.0,,296,233
"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Extending circulation time of protein therapeutics by capping glycan structures with 7F-Sialic acids,159981.0,0.0,1.0,Genetics,MULTIDISCIPLINARY; BIOCHEMISTRY,4/1/2015,"protein, glycan, sialic acids",5.0,,0.0,,297,233
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Novel bifunctional antiandrogens that suppress oncogenic activation of the androgen receptor in castration-resistant prostate cancer,159750.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,10/1/2010,"antiandrogens, androgen receptor, prostate cancer",2.0,,0.0,,298,234
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Development of novel pan-inhibitors of the androgen receptor variants as effective therapeutics for castration-resistant prostate cancer,160000.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,10/1/2015,"androgen receptor, pan-inhibitors, prostate cancer",2.0,,0.0,,299,234
"Wu, Xiao Yu S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical evaluation of multifunctional polymer nanoparticles for targeted brain cancer therapy,160000.0,0.0,1.0,Cancer Research,BRAIN TUMORS THERAPY; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CANCER,4/1/2014,"polymer nanoparticles, brain cancer, targeted",2.0,,0.0,,300,235
"Wu, Xiao Yu S",University of Toronto,Ontario,Project Grant,201809PJT,Commercialization,Development of a Smart Tumor-Activated Nanodiagnostic System for Sensitive Detection of Solid Tumors and Metastases,470475.0,0.0,3.0,Cancer Research,Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging,4/1/2019,"Nanodiagnostic, Tumor-Activated, Detection",0.0,,0.0,,301,235
"Yang, Victor X",Toronto Metropolitan University,Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Doppler Optical Coherence Tomography for Intraoperative Imaging During Skull Base Neurosurgical Procedures,149984.0,0.0,1.0,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; BIOPHYSICS,4/1/2010,"Doppler, Optical Coherence Tomography, Neurosurgical",4.0,Laser Depth Dynamics Inc.,1.0,C-suite,10,236
"Yang, Victor X",Toronto Metropolitan University,Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Integrated Surgical Lighting and Navigation System,156230.0,2200.0,1.0,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MULTIDISCIPLINARY; IMAGING; MUSCLE, BONE, OR JOINT",10/1/2013,"Surgical lighting, Navigation system",21.0,,0.0,,302,236
"Yanow, Stephanie K",University of Alberta,Alberta,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,A field-deployable malaria and fever diagnostic system,143250.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; INTERNATIONAL HEALTH,4/1/2014,"malaria, diagnostic, fever",0.0,,0.0,,303,237
"Yanow, Stephanie K",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Long-term preservation of a whole parasite malaria vaccine for storage and delivery in the tropics,160000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; BLOOD; INTERNATIONAL HEALTH; HEALTH RESEARCH,4/1/2015,"parasite, malaria, vaccine",0.0,,0.0,,304,237
"Yokota, Toshifumi",University of Alberta,Alberta,Project Grant,202203PJT,Commercialization,Commercializing a novel platform for delivery of antisense oligonucleotide-mediated therapy,1009800.0,0.0,5.0,Genetics,Genetics-Clinical Genetics,10/1/2022,"antisense, oligonucleotide, delivery",3.0,,0.0,,305,238
"Yoo, Paul",University of Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Minimally-Invasive Method of Selectively Activating Posterior Tibial Nerve Afferents for Treating Overactive Bladder,155800.0,4000.0,1.0,Aging,"GENITO/URINARY SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2015,"Minimally-Invasive, Posterior Tibial Nerve, Overactive Bladder",19.0,Ebt Medical Inc.,1.0,C-suite,4,239
"Young, Robert N","Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a novel conjugate drug for local delivery in bone grafts: Efficacy study on vascularization and osteogenesis after local delivery in a dental implant jaw model,157500.0,0.0,1.0,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; DENTAL SCIENCE - Oral Biology,4/1/2015,"conjugate drug, bone grafts, osteogenesis",6.0,,0.0,,306,240
"Yousef, George M",Unity Health Toronto,Ontario,Project Grant,201809PJT,Commercialization,Development of the first pre-operative serum exosomal miRNA test to guide treatment decision in prostate cancer,573752.0,0.0,4.0,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2019,"exosomal, miRNA, prostate cancer",1.0,,0.0,,307,241
"Yudin, Andrei",University of Toronto,Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Arrays of constrained histone tail mimetics for the development of epigenetic anticancer drugs,85712.0,74288.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,10/1/2011,"histone, mimetics, epigenetic",0.0,,0.0,,308,242
"Zaugg, Michael",University of Alberta,Alberta,Project Grant,202303PJT,Commercialization,"Vegaven, a novel lipid emulsion with unique superior biological actions designed for parenteral nutrition",818550.0,0.0,3.0,"Nutrition, Metabolism and Diabetes",Commercialization-Intellectual Property,10/1/2023,"lipid emulsion, parenteral nutrition, biological actions",0.0,,0.0,,309,243
"Zeng, Haishan",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,Development of a laser Raman spectroscopy system for melanoma detection,244071.0,48211.0,1.0,Cancer Research,MULTIDISCIPLINARY; SKIN AND SUBCUTANEOUS TISSUS; CANCER; IMAGING,4/1/2011,"laser, Raman spectroscopy, melanoma",8.0,,0.0,,310,244
"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,Real-time Endoscopic Raman Spectroscopy for Improving Dysplasia/Colorectal Cancer Detection in Patients with Inflammatory Bowel Diseases,508724.0,0.0,4.0,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",4/1/2018,"Raman Spectroscopy, Endoscopic, Colorectal Cancer",1.0,,0.0,,311,244
"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,202104PJT,Commercialization,Autofluorescence Imaging Guided Laser Raman Spectroscopy for Non-invasive Oral Cancer Detection,742051.0,0.0,4.0,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Musculoskeletal Health-Oral Health",10/1/2021,"Autofluorescence, Raman Spectroscopy, Oral Cancer",0.0,,0.0,,312,244
"Zhang, Li",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,A new cellular immunotherapy to treat acute myeloid leukemia,183670.0,35500.0,1.0,Cancer Research,MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; CANCER,10/1/2015,"cellular, immunotherapy, leukemia",2.0,,0.0,,313,245
"Zhang, Li",University Health Network (Toronto),Ontario,Project Grant,201903PJT,Commercialization,"Developing a platform for ""off-the-shelf"" CAR-T cell therapies for cancer using double negative T cells",703800.0,0.0,4.0,Cancer Research,Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,10/1/2019,"CAR-T, T cells, cancer",5.0,,0.0,,314,245
"Zhou, Youwen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A diagnostic test for cutaneous T cell lymphomas,151660.0,0.0,1.0,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; BLOOD; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2012,"diagnostic, T cell lymphomas, cutaneous",4.0,Resolvex Pharmaceuticals Inc.,1.0,C-suite,19,246
"de Rezende, Joao B",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A Non-Traumatic Binder for Temporary Abdominal Wall Closure,115768.0,0.0,1.0,Infection and Immunity,NONE OF THE ABOVE; NOT CLASSIFIED,10/1/2015,"Binder, Abdominal Wall, Closure",0.0,,0.0,,82,247
