Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Agharazii, Mohsen",Universite Laval,Quebec,Op Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,202104GA4,Operating Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,Covid-19 effects on ARTErial StIffness and vascular AgiNg (CARTESIAN) study- Canada,"$347,260 ",$0 ,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",6/1/2021,"Covid-19, arterial stiffness, vascular aging",0,zN/A,0,zN/A,99,23
"Aghazadeh, Yasaman",Institut de recherches cliniques de Montreal,Quebec,Project Grant,202309PJT,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Recapitulating beta cell development adjacent to the islet vascular niche to advance beta cell replacement therapies for type 1 diabetes.,"$1,051,875 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2024/04/01,"beta cell, islet vascular, replacement",0,zN/A,0,zN/A,100,24
"Agrawal, Babita",University of Alberta,Alberta,Operating Grant,200809MOP,Experimental Medicine,Immune responses and regulation in hepatitis C virus infection: Implications for immunotherapy,"$602,481 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/04/01,"immune, hepatitis C, immunotherapy",4,zN/A,0,zN/A,101,25
"Agrawal, Babita",University of Alberta,Alberta,Project Grant,202003PJT,Pharmaceutical Sciences,Investigation of novel host-based approaches for the treatment of tuberculosis,"$787,950 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2020/10/01,"host, tuberculosis, approaches",1,zN/A,0,zN/A,102,25
"Aguilar Valles, Argel",Carleton University (Ottawa),Ontario,Project Grant,202303PJT,Pharmacology & Toxicology,Identifying the molecular determinants of ketamine's antidepressant action,"$929,476 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/10/01,"ketamine, antidepressant, molecular",0,zN/A,0,zN/A,103,26
"Ahern, Christopher A",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cardiovascular System - A: Cells and Tissues,Basis for Calcium Regulation of Cardiac Sodium Channels,"$649,994 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"Calcium, Sodium channels, Cardiac",4,zN/A,0,zN/A,104,27
"Ahmad Khan, Faiz",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202109PJT,Indigenous Health Research,Chest Radiography and TB Elimination in Nunavik: novel solutions to fill gaps and strengthen regional capacity,"$393,974 ",$0 ,3 yrs 0 mth ,Indigenous Peoples' Health,2022/04/01,"Chest, Radiography, TB",0,zN/A,0,zN/A,105,28
"Ahmed, Sara",McGill University,Quebec,Catalyst Grant: Primary and Community-Based Healthcare,200910PCH,Catalyst Grant: Primary and Community-Based Healthcare,Informing changes in primary healthcare service delivery: Advances in estimating longitudinal changes in patient reported outcomes,"$99,789 ",$0 ,1 yr 0 mth ,Aging,3/1/2010,"healthcare, patient outcomes, service delivery",0,zN/A,0,zN/A,106,29
"Ahmed, Sara",McGill University,Quebec,Catalyst Grant: Pilot Projects in Aging - Social Dimensions of Aging,201009IAD,Institute of Aging Pilot Projects - Social Dimensions,Empowering patient decision making and health management: evaluating individual preferences and willingness to adopt health information technologies.,"$48,341 ",$0 ,1 yr 0 mth ,Aging,3/1/2011,"patient, health information, decision making",0,zN/A,0,zN/A,107,29
"Ahmed, Sofia B",University of Calgary,Alberta,Project Grant,202203PJT,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Gender-affirming estrogen therapy and kidney function in transgender women,"$325,124 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2022/10/01,"estrogen, kidney, transgender",0,zN/A,0,zN/A,108,30
"Aita, Marilyn","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202109PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Effets d'une intervention de proximite mere-premature et de calme (NeuroN-QI) sur le neurodeveloppement de nouveau-nes prematures : un essai clinique randomise,"$443,700 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2022/04/01,"neurodeveloppement, premature, intervention",0,zN/A,0,zN/A,109,31
"Akay, Turgay",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201809PJT,Movement & Exercise,Sensory control of muscle synergies during walking,"$688,500 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/04/01,"sensory control, muscle synergies, walking",0,zN/A,0,zN/A,110,32
"Akimenko, Marie-Andree",University of Ottawa,Ontario,Operating Grant,201309MOP,Developmental Biology,Zebrafish fin regeneration: Cellular mechanisms.,"$622,330 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2014/04/01,"Zebrafish, fin, regeneration",0,zN/A,0,zN/A,111,33
"Akimenko, Marie-Andree",University of Ottawa,Ontario,Project Grant,201903PJT,Developmental Biology,Zebrafish fin regeneration: Cellilar mechanisms.,"$619,650 ",$0 ,5 yrs 0 mth ,Genetics,2019/10/01,"Zebrafish, fin, regeneration",0,zN/A,0,zN/A,112,33
"Akoum, Ali",Universite Laval,Quebec,Operating Grant,200809MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Anomalies dans le contrele de la reponse des cellules endometriales e l'IL-1 : rele dans la physiopathologie de l'endometriose.,"$615,074 ",$0 ,5 yrs 0 mth ,Gender and Health,2009/04/01,"endometrial cells, IL-1, physiopathology",0,zN/A,0,zN/A,113,34
"Akoum, Ali",Universite Laval,Quebec,Operating Grant,201110MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Defective prostaglandin biosynthesis pathways and abnormal crosstalk at the endometrial/peritoneal interface: role in the pathophysiology of endometriosis.,"$100,000 ",$0 ,1 yr 0 mth ,Gender and Health,2012/03/01,"prostglandin, biosynthesis, endometriosis",0,zN/A,0,zN/A,114,34
"Akoum, Ali",Universite Laval,Quebec,Operating Grant,201203MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Defective prostaglandin biosynthesis pathways and abnormal crosstalk at the endometrial/peritoneal interface: role in the pathophysiology of endometriosis.,"$715,060 ",$0 ,5 yrs 0 mth ,Gender and Health,2012/10/01,"prostglandin, biosynthesis, endometriosis",0,zN/A,0,zN/A,115,34
"Al Batran, Rami",Universite de Montreal,Quebec,Project Grant,202403PJT,"Hematology, Digestive Disease & Kidney",Exploring the Hepatoprotective Actions of Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors,"$852,976 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2024/10/01,"Hepatoprotective, Sodium-glucose Cotransporter 2, SGLT2",0,zN/A,0,zN/A,116,35
"Al-Awar, Rima S","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Project Grant,202010PJT,Pharmaceutical Sciences,The Discovery and Optimization of NUAK Inhibitors: A Novel Approach to Target Hippo Pathway Driven Cancers,"$520,199 ",$0 ,3 yrs 0 mth ,Cancer Research,2021/03/01,"NUAK, Inhibitors, Hippo Pathway",2,zN/A,0,zN/A,117,36
"Alain, Claude",Baycrest Centre for Geriatric Care (Toronto),Ontario,Operating Grant,201003MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Aging and the Neural Architecture Supporting Perceptual Organization of Speech,"$787,638 ",$0 ,5 yrs 0 mth ,Aging,2010/10/01,"Aging, Neural Architecture, Perceptual Organization",0,zN/A,0,zN/A,118,37
"Alain, Claude",Baycrest Centre for Geriatric Care (Toronto),Ontario,Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Leveraging Advances in Human Electrophysiology in Identifying Mild Cognitive Impairment Subtypes,"$378,676 ",$0 ,5 yrs 0 mth ,Aging,2022/10/01,"Electrophysiology, Cognitive Impairment, Subtypes",0,zN/A,0,zN/A,119,37
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,200903MOP,Pharmaceutical Sciences,Discovery and Validation of Pharmacological Probes for Understanding Protein-Protein Interactions of Focal Adhesion Signalling in Invasive Cancer Cells,"$552,746 ",$0 ,4 yrs 0 mth ,Cancer Research,2009/10/01,"Pharmacological, Protein-Protein Interactions, Focal Adhesion",3,zN/A,0,zN/A,120,38
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202104PJT,Pharmaceutical Sciences,Characterization and therapeutic implication of a novel class of PKC-theta inhibitors selectively targeting undifferentiated cancer cells expressing stem cell markers,"$906,526 ",$0 ,5 yrs 0 mth ,Cancer Research,2021/10/01,"PKC-theta, inhibitors, cancer cells",0,zN/A,0,zN/A,121,38
"Alba, Ana Carolina",University Health Network (Toronto),Ontario,Project Grant,202303PJT,Health Services Evaluation & Interventions Research,Referral pattern and risk profiles of heart failure patients followed in family practice,"$436,050 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2023/10/01,"heart failure, referral pattern, risk profiles",0,zN/A,0,zN/A,122,39
"Albensi, Benedict C",University of Manitoba,Manitoba,Project Grant,201809PJT,"Gender, Sex & Health",Sex-based differences associated with mitochondrial dysfunction in Alzheimer's disease,"$725,985 ",$0 ,5 yrs 0 mth ,Gender and Health,2019/04/01,"mitochondrial, Alzheimer's, dysfunction",0,zN/A,0,zN/A,123,40
