Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Franklin, Daniel",University of Toronto,Ontario,Project Grant,202403PJT,Biomedical Engineering,Advancing Pulse Oximetry Accuracy and Equity through Wearable Spectroscopy Devices,"$879,750",$0,,,5 yrs 0 mth 
"Shepherd, Trevor G",Western University (Ontario),Ontario,Project Grant,202409PJT,Cancer Progression & Therapeutics 2,Evaluation of pharmacologic LKB1 inhibition as a new therapeutic strategy against ovarian cancer metastasis,"$879,750",$0,,,5 yrs 0 mth 
"Drangova, Maria",Western University (Ontario),Ontario,Project Grant,201803PJT,Medical Physics & Imaging,Characterizing cerebral thrombus composition with Phase-based MRI,"$881,664",$0,,,5 yrs 0 mth 
"Durocher, Daniel",Sinai Health System (Toronto),Ontario,Project Grant,202104PJT,Cancer Biology & Therapeutics,Understanding and exploiting the CIP2A-BRCA synthetic lethality,"$882,046",$0,,,5 yrs 0 mth 
"Liu, Stanley K; Kislinger, Thomas","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202303PJT,Cancer Progression & Therapeutics,Primary prostate cancer cells as novel models for patient therapy prediction,"$883,576",$0,,,5 yrs 0 mth 
"Sidhu, Sachdev S",University of Toronto,Ontario,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Rapid development of antiviral compounds to fight the COVID-19 outbreak,"$886,090",$0,,,2 yrs 0 mth 
"Kain, Kevin C; Dholakia, Yatin; Fawzi, Wafaie W",University Health Network (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"A Randomized trial to determine the effect of vitamin D and zinc supplementation for improving treatment outcomes among COVID-19 patients in Mumbai, India","$887,006",$0,,,1 yr 0 mth 
"Martel, Anne L; Nofech-Mozes, Sharon","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202203PJT,Medical Physics & Imaging,Using AI to predict the presence of occult invasive carcinoma following diagnosis of DCIS on biopsy,"$887,400",$0,,,5 yrs 0 mth 
"Mulligan, Lois M","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202104PJT,Cancer Biology & Therapeutics 2,Investigating the Regulation of RET Receptor-Mediated Perineural Invasion and Metastasis,"$887,400",$0,,,5 yrs 0 mth 
"Thompson, Richard B; Paterson, Ian",University of Alberta,Alberta,Project Grant,202403PJT,Medical Physics & Imaging,Imaging of Long Term Tissue Damage from COVID-19 and Cardiometabolic Disease,"$887,400",$0,,,5 yrs 0 mth 
"Overall, Christopher M",University of British Columbia,British Columbia,Operating Grant,201009MOP,Cancer Progression & Therapeutics,Proteolytic Signatures in Breast Cancer,"$890,620",$0,,,5 yrs 0 mth 
"Barabé, Frédéric",Université Laval,Quebec,Project Grant,202209PJT,Cancer Progression & Therapeutics 2,Role of the RAS Pathway Activation on the Biology and Drug Response of Acute Myeloid Leukemias,"$891,225",$0,,,5 yrs 0 mth 
"Fradet-Turcotte, Amélie",Université Laval,Quebec,Project Grant,202109PJT,Cancer Biology & Therapeutics 2,Unraveling the molecular mechanisms that promote replication stress and resistance to chemoradiation in oropharyngeal cancer caused by human papillomavirus,"$891,225",$0,,,5 yrs 0 mth 
"Huang, Xi",Hospital for Sick Children (Toronto),Ontario,Project Grant,201809PJT,Cancer Biology & Therapeutics 2,Targeting potassium channel to disrupt the cellular hierarchy and suppress malignant growth of pediatric brain tumor,"$891,225",$0,,,5 yrs 0 mth 
"Sled, John G",Hospital for Sick Children (Toronto),Ontario,Project Grant,201909PJT,Medical Physics & Imaging,Predicting and preventing brain injury in the antenatal period,"$891,225",$0,,,5 yrs 0 mth 
"Fortin, Sébastien",Université Laval,Quebec,Project Grant,202104PJT,Cancer Progression & Therapeutics,"L'AIMZ-938, un nouveau promédicament anticancéreux pour le traitement des cancers du sein humain réfractaires aux traitements actuels et exprimant le cytochrome P450 1A1","$891,226",$0,,,5 yrs 0 mth 
"Boivin, Guy; Lin, Sheng-Xiang",Université Laval,Quebec,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Innovative therapeutic approaches for the 2019-novel coronavirus,"$894,910",$0,,,2 yrs 0 mth 
"Cescon, David W",University Health Network (Toronto),Ontario,Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Discovery and validation of vulnerabilities and therapeutic strategies for cyclin-dependent kinase 4/6 inhibitor-resistant hormone receptor positive breast cancer,"$895,050",$0,,,5 yrs 0 mth 
"Juncker, David",McGill University,Quebec,Project Grant,202109PJT,Biomedical Engineering,Single-cell imaging affinity proteomics of microfiltered circulating tumor cells: Uncovering biomarkers in colorectal cancer liver metastasis,"$895,050",$0,,,5 yrs 0 mth 
"McCaffrey, Luke M",McGill University,Quebec,Project Grant,201709PJT,Cancer Biology & Therapeutics 2,Distinct roles for the Par6 polarity protein in development of low- and high-grade breast cancers.,"$898,875",$0,,,5 yrs 0 mth 
"Salmena, Leonardo L",University of Toronto,Ontario,Project Grant,202010PJT,Cancer Progression & Therapeutics 2,Identification and characterization of microRNAs essential for the development and fitness of chemoresistant AML,"$898,875",$0,,,5 yrs 0 mth 
"Eppert, Kolja",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202203PJT,Cancer Biology & Therapeutics,Identification of the mechanisms underlying the early stages of leukemogenesis in human hematopoietic stem cells.,"$898,876",$0,,,5 yrs 0 mth 
"Rahmim, Arman",University of British Columbia,British Columbia,Project Grant,202003PJT,Medical Physics & Imaging,Improved Assessment of Disease in Lymphoma Patients using Quantitative PET Imaging,"$898,876",$0,,,5 yrs 0 mth 
"Barsyte-Lovejoy, Dalia",University of Toronto,Ontario,Project Grant,202309PJT,Cancer Progression & Therapeutics 2,Targeting protein arginine methylation in the 9p21.3 loss tumor microenvironment,"$902,700",$0,,,5 yrs 0 mth 
"Bremner, Rod",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Cancer Biology & Therapeutics 2,Role of YAP and TAZ in Acute Myeloid Leukemia,"$902,700",$0,,,5 yrs 0 mth 
"Jiang, Xiaoyan",University of British Columbia,British Columbia,Project Grant,201909PJT,Cancer Progression & Therapeutics 2,Targeting a novel miR-185/PAK6 axis to overcome drug-resistance in human leukemia,"$902,700",$0,,,5 yrs 0 mth 
"Kassouf, Wassim",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Cancer Biology & Therapeutics,Implication of neutrophil extracellular traps in the efficacy of bladder-sparing therapy in muscle invasive bladder cancer,"$902,700",$0,,,5 yrs 0 mth 
"Zadeh, Gelareh",University Health Network (Toronto),Ontario,Project Grant,202003PJT,Cancer Progression & Therapeutics 2,Establishing the epigenetic drivers of aggressive behaviour in meningiomas,"$902,700",$0,,,5 yrs 0 mth 
"Zhu, Xu-Dong",McMaster University,Ontario,Project Grant,201803PJT,Cancer Biology & Therapeutics,Elucidating the Role of CSB in the Maintenance of Genomic Stability,"$902,700",$0,,,5 yrs 0 mth 
"Tyrrell, D. Lorne J",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Advancing a Potent Inhibitor of SARS-CoV-2 3CL Protease into Clinical Trials,"$904,236",$0,,,1 yr 0 mth 
"Bashashati, Ali; Black, Peter C; Goldenberg, Larry; Salcudean, Septimiu E",University of British Columbia,British Columbia,Project Grant,202010PJT,Medical Physics & Imaging,Prostate cancer risk stratification for active surveillance using computer-aided analysis of histopathology and transcriptomics,"$906,525",$0,,,5 yrs 0 mth 
"Uribe, Carlos F; Beauregard, Jean-Mathieu; Benard, Francois; Rahmim, Arman",University of British Columbia,British Columbia,Project Grant,202409PJT,Medical Physics & Imaging,Precision Radiopharmaceutical Therapies with Theranostic Digital Twins,"$906,525",$0,,,5 yrs 0 mth 
"Vanderhyden, Barbara C",Ottawa Hospital Research Institute,Ontario,Project Grant,202209PJT,Cancer Biology & Therapeutics,Increasing anti-tumoral responses to ovarian cancer using engineered viruses,"$906,525",$0,,,5 yrs 0 mth 
"Blank, Volker",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant,202203PJT,Cancer Biology & Therapeutics 2,Regulation and function of NFE2L3: linking transcription factor activity to colorectal cancer,"$906,526",$0,,,5 yrs 0 mth 
"Malkin, David D",Hospital for Sick Children (Toronto),Ontario,Project Grant,202303PJT,Cancer Progression & Therapeutics,Developing diagnostics of patient-specific cancer risk and early-stage tumorigenesis,"$906,526",$0,,,5 yrs 0 mth 
"McGlade, Catherine J",Hospital for Sick Children (Toronto),Ontario,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,Approaches to regulate Cbl ubiquitin ligase activity and control oncogenic tyrosine kinase signaling.,"$906,526",$0,,,5 yrs 0 mth 
"Sussman, Dafna; Ertl-Wagner, Birgit B",Toronto Metropolitan University,Ontario,Project Grant,202303PJT,Medical Physics & Imaging,FetAS: Fetal Assessment Suite to Facilitate Rapid Fetal MRI Diagnosis using Artificial Intelligence,"$906,526",$0,,,5 yrs 0 mth 
"Sauvageau, Guy",Université de Montréal,Quebec,Project Grant,202109PJT,Cancer Progression & Therapeutics 2,Understanding the GR/PLZF axis in acute myeloid leukemia,"$908,438",$0,,,5 yrs 0 mth 
"Berman, Jason N",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,202209PJT,Cancer Progression & Therapeutics,Identifying novel strategies for leukemia prevention using zebrafish models of dnajc21-mutant Shwachman Diamond syndrome,"$910,350",$0,,,5 yrs 0 mth 
"Dong, Xuesen",University of British Columbia,British Columbia,Project Grant,202104PJT,Cancer Biology & Therapeutics,Design a Double-Bolt Lock to Control Cancer Cell Growth,"$910,350",$0,,,5 yrs 0 mth 
"Lu, Qing-Bin",University of Waterloo (Ontario),Ontario,Project Grant,201903PJT,Medical Physics & Imaging,"Development of Novel Non-Platinum-Based Antitumor Agents for Natural Targeted Chemotherapy and Radiotherapy of Cervical, Lung and Ovarian Cancers","$910,350",$0,,,5 yrs 0 mth 
"Vanderhyden, Barbara C",Ottawa Hospital Research Institute,Ontario,Project Grant,201709PJT,Cancer Biology & Therapeutics,Enhancing ovarian cancer immunogenicity by increasing antitumoral responses using engineered oncolytic vaccines,"$910,350",$0,,,5 yrs 0 mth 
"Rakovitch, Eileen; Hallett, Michael T","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,201709PJT,Cancer Biology & Therapeutics 2,DCIS-Precise: A Genomics-Driven Model for Predicting DCIS Response to Radiation,"$910,352",$0,,,4 yrs 0 mth 
"Craig, Andrew W; Babak, Tomas","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202104PJT,Cancer Progression & Therapeutics 2,Translating synthetic lethality with common driver events into targeted therapies for high fatality cancers,"$911,116",$0,,,5 yrs 0 mth 
"Tabori, Uri",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics,Novel implications of THOR hypermethylation in telomere maintenance and gliomageneis.,"$911,430",$0,,,5 yrs 0 mth 
"Menon, Ravi S",Western University (Ontario),Ontario,Operating Grant,201009MOP,Medical Physics & Imaging,Ultra high field MRI measurements of tissue magnetic susceptibility in Multiple Sclerosis,"$912,635",$0,,,5 yrs 0 mth 
"Ghert, Michelle A; Bhandari, Mohit",McMaster University,Ontario,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Prophylactic Antibiotic Regimens in Tumor Surgery (PARITY): A Multi-Center Randomized Controlled Trial,"$913,568",$0,,,5 yrs 0 mth 
"Rudko, David A",McGill University,Quebec,Project Grant,202209PJT,Medical Physics & Imaging,"Unraveling Silent Progression in MS Using Advanced Quantitative MRI, PET Molecular Imaging and Computational Neuroanatomy","$914,175",$0,,,5 yrs 0 mth 
"Lam, Wan L",University of British Columbia,British Columbia,Project Grant,202203PJT,Cancer Progression & Therapeutics,Targeting lung microbiome for developing early detection and intervention strategies for lung cancer,"$914,176",$0,,,5 yrs 0 mth 
"Ramaswamy, Vijay",Hospital for Sick Children (Toronto),Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics 2,Molecular and Functional Characterization of Childhood Ependymoma,"$914,176",$0,,,5 yrs 0 mth 
"Zandstra, Peter W",University of Toronto,Ontario,Operating Grant,201309MOP,Biomedical Engineering,Regulatory control of pluripotent cell identity and fate,"$917,420",$0,,,5 yrs 0 mth 
"Clemente Casares, Javier",University of Alberta,Alberta,Project Grant,202203PJT,Cancer Biology & Therapeutics,The Role of CSF2RB1 Ligands in Cancer-Associated Cachexia,"$918,000",$0,,,5 yrs 0 mth 
"Davenport Huyer, Locke S",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202309PJT,Biomedical Engineering,Metabolite-based Immunoregulatory Polymer Surgical Meshes for Pelvic Floor Reconstructive Surgery,"$918,000",$0,,,5 yrs 0 mth 
"Gamper, Armin",University of Alberta,Alberta,Project Grant,201803PJT,Cancer Biology & Therapeutics,Cancer Therapy exploiting Conditional Synthetic Lethality based on Genotoxic Stress levels,"$918,000",$0,,,5 yrs 0 mth 
"Greer, Peter A","Queen's University (Kingston, Ontario)",Ontario,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,Targeting the calpain protease in breast cancer,"$918,000",$0,,,5 yrs 0 mth 
"Kim, Tae-Hee",Hospital for Sick Children (Toronto),Ontario,Project Grant,202003PJT,Cancer Progression & Therapeutics,Epigenetic mechanisms of gastric cancer associated with ARID1A mutations and H. pylori,"$918,000",$0,,,5 yrs 0 mth 
"Kizhakkedathu, Jayachandran N; Choy, Jonathan C",University of British Columbia,British Columbia,Project Grant,202003PJT,Biomedical Engineering,Novel endothelial engineering and localized immunosuppression approaches for the protection of organ transplants,"$918,000",$0,,,5 yrs 0 mth 
"Lee, Seung-Hwan",University of Ottawa,Ontario,Project Grant,202104PJT,Cancer Biology & Therapeutics,Hypoxic-specific activation of natural killer cells: Being resilient in the tumor microenvironment,"$918,000",$0,,,5 yrs 0 mth 
"Marcato, Paola",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201809PJT,Cancer Biology & Therapeutics 2,Defining the mechanism of ALDH1A3 in breast cancer for the identification of novel therapeutic targets,"$918,000",$0,,,5 yrs 0 mth 
"Minchinton, Andrew I",University of British Columbia,British Columbia,Project Grant,202104PJT,Cancer Biology & Therapeutics 2,FLASH radiotherapy - mechanisms and translational studies,"$918,000",$0,,,4 yrs 0 mth 
"Reedijk, Michael",University Health Network (Toronto),Ontario,Project Grant,201709PJT,Cancer Biology & Therapeutics,Priming Notch-activated basal like breast cancer for immune checkpoint blockade,"$918,000",$0,,,5 yrs 0 mth 
"Reid, Gregor",University of British Columbia,British Columbia,Project Grant,202403PJT,Cancer Biology & Therapeutics,Harnessing infection-associated modifiers of paediatric acute lymphoblastic leukaemia progression for therapeutic benefit,"$918,000",$0,,,5 yrs 0 mth 
"Stefanovic, Bojana; Carlen, Peter L; Sled, John G","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,201709PJT,Medical Physics & Imaging,Modulating peri-ischemic neuronal hyperexcitability,"$918,000",$0,,,5 yrs 0 mth 
"Wisnovsky, Simon; Williams, Karla",University of British Columbia,British Columbia,Project Grant,202403PJT,Cancer Biology & Therapeutics,T-cell glyco-immune checkpoints as next-generation targets for cancer immunotherapy,"$918,000",$0,,,5 yrs 0 mth 
"Sidhu, Sachdev S",University of Toronto,Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics 2,Specific inhibitors of ubiquitin ligases and deubiquitinases,"$919,406",$0,,,5 yrs 0 mth 
"Jones, Courtney L",University Health Network (Toronto),Ontario,Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Characterization and Targeting of SIRT3 in Acute Myeloid Leukemia Stem Cells,"$921,825",$0,,,5 yrs 0 mth 
"Roux, Philippe",Université de Montréal,Quebec,Project Grant,202109PJT,Cancer Biology & Therapeutics 2,Targeting ENPP1-dependent immune evasion in ErbB2-positive breast cancer,"$921,825",$0,,,5 yrs 0 mth 
"Cattral, Mark S",University Health Network (Toronto),Ontario,Project Grant,201903PJT,Cancer Biology & Therapeutics,Transformation of the Tumor Microenvironment with Genetically-modifed Dendritic Cells for T cell-mediated Immunotherapy,"$921,826",$0,,,5 yrs 0 mth 
"Boyd, Steven K",University of Calgary,Alberta,Project Grant,201809PJT,Medical Physics & Imaging,Advanced multi-modal imaging to monitor progressive joint adaptation in the knee following an acute ligament injury,"$925,650",$0,,,5 yrs 0 mth 
"Gilbert, Penney M; Stewart, Bryan A",University of Toronto,Ontario,Project Grant,202309PJT,Biomedical Engineering,Evaluating the nerve-muscle connection as a Duchenne muscular dystrophy therapeutic target,"$925,650",$0,,,5 yrs 0 mth 
"Martel, Anne L; Brooks, Jennifer D","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,201909PJT,Medical Physics & Imaging,Using MRI imaging to develop a personalized risk-based breast cancer screening strategy,"$925,650",$0,,,5 yrs 0 mth 
"Workenhe, Samuel Tekeste",University of Guelph,Ontario,Project Grant,202303PJT,Cancer Biology & Therapeutics,Unraveling how programmed cell death shapes anticancer immunity,"$925,650",$0,,,5 yrs 0 mth 
"Wright, Graham A","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202104PJT,Medical Physics & Imaging,MRI for Arrhythmia Management in Ischemic Heart Disease,"$925,650",$0,,,5 yrs 0 mth 
"Dedhar, Shoukat R",University of British Columbia,British Columbia,Operating Grant,200909MOP,Cancer Biology & Therapeutics,Targeting Carbonic Anhydrase IX and Hypoxia for the diagnosis and treatment of aggresive breast cancers,"$926,186",$0,,,5 yrs 0 mth 
"Drobetsky, Elliot A",CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont,Quebec,Project Grant,202109PJT,Cancer Biology & Therapeutics,Replicative stress as a primary determinant of chemotherapeutic outcome in ovarian cancer,"$929,475",$0,,,5 yrs 0 mth 
"Irwin, Meredith; Kaplan, David R",Hospital for Sick Children (Toronto),Ontario,Project Grant,201809PJT,Cancer Progression & Therapeutics,Targeting Relapsed Metastatic Neuroblastoma,"$929,475",$0,,,5 yrs 0 mth 
"Mercier, François",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant,202209PJT,Cancer Progression & Therapeutics,Understanding the role of eIF4A in AML progression and relapse,"$929,475",$0,,,5 yrs 0 mth 
"Simmons, Craig A",University of Toronto,Ontario,Project Grant,202010PJT,Biomedical Engineering,Optimization of cell culture media and substrates to mature pluripotent stem cell-derived cardiomyoctyes for improved cardiac cell therapy,"$929,475",$0,,,5 yrs 0 mth 
"Ilkow, Carolina S; Goss, Glenwood D",Ottawa Hospital Research Institute,Ontario,Project Grant,202409PJT,Cancer Progression & Therapeutics,Engineered Extracellular Vesicles to Enhance Immunotherapy in Immunosuppressive Non-Small Cell Lung Cancers,"$933,300",$0,,,5 yrs 0 mth 
"Brindley, David N",University of Alberta,Alberta,Project Grant,201909PJT,Cancer Progression & Therapeutics,Targeting lysophosphatidate (LPA) signaling to improve therapeutic outcomes  for breast cancer patients,"$937,125",$0,,,5 yrs 0 mth 
"Korneluk, Robert G",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics 2,Combined IAP antagonism and immunotherapy for cancer treatment,"$937,126",$0,,,5 yrs 0 mth 
"Ashkar, Ali A",McMaster University,Ontario,Project Grant,201803PJT,Cancer Biology & Therapeutics,Utilizing chimeric antigen receptors to direct autologous NK cell cytotoxicity to breast cancer,"$937,740",$0,,,5 yrs 0 mth 
"Babu, Mohan; Siqueira, Walter L",University of Regina (Saskatchewan),Saskatchewan,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Development of SARS-CoV-2 Peptide Therapeutics and Point-of-Care Salivary Diagnostics for Rapid Viral Detection,"$937,950",$0,,,1 yr 0 mth 
"Goodarzi, Aaron",University of Calgary,Alberta,Project Grant,202003PJT,Cancer Biology & Therapeutics,"High-Throughput Analysis of Low Dose, Repetitive Alpha Particle Irradiation as a source of Radon-Induced Lung Cancer","$940,950",$0,,,5 yrs 0 mth 
"Hawkins, Cynthia E; Tabori, Uri",Hospital for Sick Children (Toronto),Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics 2,Molecular based approach for discovery and improved outcome for children and young adults with low grade glioma,"$940,950",$0,,,5 yrs 0 mth 
"Mallette, Frédérick A",CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont,Quebec,Project Grant,202403PJT,Cancer Biology & Therapeutics,Exploiting translational reprogramming in neoplasia to devise unique strategies to eliminate cancer and cancer-promoting senescent cells,"$940,950",$0,,,5 yrs 0 mth 
"Near, Jamie; Schuurmans, Carol J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202203PJT,Medical Physics & Imaging,NMR spectroscopy in brain organoids: identifying neurochemical and gene regulatory network signatures of the healthy and Alzheimer's Disease brain,"$940,950",$0,,,5 yrs 0 mth 
"Weinfeld, Michael",University of Alberta,Alberta,Project Grant,201909PJT,Cancer Biology & Therapeutics,Polynucleotide kinase/phosphatase: its role in DNA strand break repair and a potential therapeutic target to enhance radio- and chemotherapy,"$940,950",$0,,,5 yrs 0 mth 
"Crome, Sarah A; Mattsson, Jonas I",University Health Network (Toronto),Ontario,Project Grant,201909PJT,Cancer Biology & Therapeutics,Harnessing innate lymphoid cells to improve hematopoietic stem cell transplant outcomes,"$944,775",$0,,,5 yrs 0 mth 
"Derda, Ratmir",University of Alberta,Alberta,Project Grant,202109PJT,Cancer Biology & Therapeutics,"Probing the Role of Glycans in Immunooncology using Genetically Encoded ""Liquid Glycan Arrays""","$944,775",$0,,,5 yrs 0 mth 
"Cellot, Sonia","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Quebec,Project Grant,202104PJT,Cancer Biology & Therapeutics 2,Exploiting induction of mitochondrial apoptosis as a therapeutic vulnerability in high fatality pediatric leukemia,"$944,776",$0,,,5 yrs 0 mth 
"Quail, Daniela",McGill University,Quebec,Project Grant,201803PJT,Cancer Biology & Therapeutics,Impact of obesity-associated inflammation on breast cancer progression,"$944,776",$0,,,5 yrs 0 mth 
"Gladdy, Rebecca A",Sinai Health System (Toronto),Ontario,Project Grant,201903PJT,Cancer Progression & Therapeutics,Whole Genome Sequencing Defines Leiomyosarcoma Evolution and Identifies Therapeutic Opportunities in the DNA Damage Pathway,"$948,600",$0,,,5 yrs 0 mth 
"Lok, Benjamin",University Health Network (Toronto),Ontario,Project Grant,202409PJT,Cancer Progression & Therapeutics,Investigating the mechanism of arginine methyltransferase PRMT1 in regulating mRNA splicing and as a therapeutic target against small cell lung cancer,"$948,600",$0,,,5 yrs 0 mth 
"Nielsen, Torsten O",University of British Columbia,British Columbia,Project Grant,202303PJT,Cancer Progression & Therapeutics,Translating Epigenomics into Clinical Care for Synovial Sarcoma,"$948,600",$0,,,5 yrs 0 mth 
"Quail, Daniela",McGill University,Quebec,Project Grant,202104PJT,Cancer Biology & Therapeutics,Targeting obesity-associated monocytosis in colorectal cancer liver metastasis,"$948,600",$0,,,5 yrs 0 mth 
"Ursini-Siegel, Giuseppina",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant,201909PJT,Cancer Progression & Therapeutics 2,Capitalizing on an oxidative stress response to sensitize poor outcome cancers to PARP inhibitors,"$948,600",$0,,,5 yrs 0 mth 
"Wong, Judy M",University of British Columbia,British Columbia,Project Grant,202109PJT,Cancer Biology & Therapeutics,Molecular and Functional Genomic Characterization of G-quadruplex in Cancers with the Alternate Lengthening of Telomere (ALT) Mechanism,"$948,600",$0,,,5 yrs 0 mth 
"Pardee, Keith I",University of Toronto,Ontario,Project Grant,202403PJT,Biomedical Engineering 2,"Improving Access to Diagnostics: The Development of Deployable, Low-Burden Hand-Held Testing for Infectious Disease and Health Biomarkers.","$952,424",$0,,,4 yrs 0 mth 
"Lange, Philipp",University of British Columbia,British Columbia,Project Grant,201909PJT,Cancer Progression & Therapeutics 2,Tumour microenvironment mediated cell surface shedding creates unique targets and markers,"$952,425",$0,,,5 yrs 0 mth 
"Frampton, John P",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202203PJT,Biomedical Engineering 2,Collagen Fiber Scaffolds for Emergency Treatment of Corneal Injury,"$952,426",$0,,,5 yrs 0 mth 
"Huang, Sidong",McGill University,Quebec,Project Grant,202003PJT,Cancer Progression & Therapeutics,Exploiting genetic vulnerabilities to improve outcomes in small cell carcinoma of the ovary,"$952,426",$0,,,5 yrs 0 mth 
"Weinfeld, Michael",University of Alberta,Alberta,Operating Grant,201309MOP,Cancer Biology & Therapeutics,Polynucleotide kinase: its role in DNA strand break repair and a potential therapeutic target to enhance radio- and chemotherapy,"$952,465",$0,,,5 yrs 0 mth 
"Drews, Steven J",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"Population-based seroprevalence of prior infection with COVID-19 in Canada: implications for testing, economic revitalization and population health.","$955,694",$0,,,1 yr 0 mth 
"Baker, Kristi",University of Alberta,Alberta,Project Grant,202209PJT,Cancer Biology & Therapeutics,Harnessing dendritic cells to regulate antitumor immunity in colorectal cancer,"$956,250",$0,,,5 yrs 0 mth 
"Bennewith, Kevin L",University of British Columbia,British Columbia,Project Grant,201803PJT,Cancer Biology & Therapeutics,Hypoxia in tumour-draining lymph nodes as an indication of immune activation and immunotherapy response,"$956,250",$0,,,5 yrs 0 mth 
"Dedhar, Shoukat R",University of British Columbia,British Columbia,Project Grant,202209PJT,Cancer Progression & Therapeutics 2,Investigation of Neutrophil Extracellular Trap DNA ( NET-DNA) induced signaling in the progression of Pancreatic Ductal Adenocarcinoma,"$956,250",$0,,,5 yrs 0 mth 
"Dirks, Peter B",Hospital for Sick Children (Toronto),Ontario,Project Grant,202104PJT,Cancer Biology & Therapeutics 2,Tracing the Cellular and Molecular Origins of Mouse and Human Medulloblastoma,"$956,250",$0,,,5 yrs 0 mth 
"Dirks, Peter B",Hospital for Sick Children (Toronto),Ontario,Project Grant,201909PJT,Cancer Biology & Therapeutics 2,Modeling brain cancer in a regionally defined human neural stem cell system,"$956,250",$0,,,5 yrs 0 mth 
"Egan, Sean E",Hospital for Sick Children (Toronto),Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics 2,Targeting the immune landscape at presentation and relapse of Immune-Related Lobular Breast Cancer,"$956,250",$0,,,5 yrs 0 mth 
"Hakem, Razqallah",University Health Network (Toronto),Ontario,Project Grant,202203PJT,Cancer Progression & Therapeutics,Novel contrasting functions of RNF168 and RNF169 in breast cancer and therapeutic implications.,"$956,250",$0,,,5 yrs 0 mth 
"Hakem, Razqallah",University Health Network (Toronto),Ontario,Project Grant,202209PJT,Cancer Progression & Therapeutics,Targeting transcription-replication conflicts as vulnerabilities in BRCA1 mutant and homologous recombination-deficient breast and ovarian cancers,"$956,250",$0,,,5 yrs 0 mth 
"Hawkins, Cynthia E",Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Cancer Progression & Therapeutics,Defining the role of the histone 3 (H3.3G34R) mutation in the pathogenesis of pediatric high grade astrocytoma,"$956,250",$0,,,5 yrs 0 mth 
"Hope, Kristin",University Health Network (Toronto),Ontario,Project Grant,202209PJT,Cancer Progression & Therapeutics,Characterizing the stress granule network as a determinant of leukemic stem cells and novel therapeutic target in acute myeloid leukemia,"$956,250",$0,,,5 yrs 0 mth 
