Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
CD8 T cell suppression of HIV latency establishment and maintenance in virally suppressed individuals,Clinical Research; Genetics; HIV/AIDS; Infectious Diseases,"This study will define the mechanisms by which CD8+ lymphocytes promote HIV persistence in ART-treated
HIV-infected individuals. The work proposed in this application will allow us to understand the how CD8+
lymphocytes impact the course of treated HIV disease and ultimately promote HIV latency in ART-treated HIV-
infected individuals. Our goal is to identify and evaluate therapeutic strategies to counteract these mechanisms,
which will constitute the basis for the design of clinical studies aimed at eradication HIV.",NIAID,1R01AI143414-01,1,R01,AI,1,,2018-09-24,2024-08-31,AIDS Immunology and Pathogenesis Study Section[AIP],,"KULPA, DEANNA A",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-09-24,2024-08-31,,855.0,Non-SBIR/STTR,2018,1950000.0,,NIAID,250000.0,140000.0,,390000.0,"CD8 T cells, HIV, latency",1,0,0
High-Resolution Plasma Metabolomic Profiling to Identify Biomarkers for Tuberculosis Disease and Response to Therapy,Antimicrobial Resistance; Clinical Research; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Lung; Orphan Drug; Precision Medicine; Rare Diseases; Tuberculosis,"Project narrative: Tuberculosis (TB) is the number one infectious disease killer in the world, but there is a
major gap in our ability to predict the onset, progression and cure of TB. Studies of small molecules in blood
plasma (metabolomics), have promise to identify ebiomarkerse that may predict the presence or cure of TB,
which would have a major impact on human health. In this project, we will use metabolomics to try to identify
such a useful clinical marker in the plasma of adults with active TB disease.",NIAID,1R21AI130918-01,1,R21,AI,1,,2017-02-14,2020-01-31,Clinical Research and Field Studies of Infectious Diseases Study Section[CRFS],,"ZIEGLER, THOMAS R","JONES, DEAN PAUL",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2017-02-14,2020-01-31,,855.0,Non-SBIR/STTR,2017,442338.0,,NIAID,154275.0,86394.0,,240669.0,"Plasma, Metabolomic, Biomarkers",0,0,0
Next generation glycan microarray (NGGM) enabled by next generation sequencing (NGS) and DNA-coded glycan library,Biotechnology,"Project Narrative
Functional Glycomics has been greatly improved by the development of glycan microarray technology,
however, the current glycan microarray platform is showing limitations towards glycome-wide studies. Here we
propose to fundamentally change the current microarray platform by introducing DNA sequences as codes for
glycans and next generation sequencing (NGS) for decoding. This enext generation glycan microarray
(NGGM)e technology will greatly increase the capacity, throughput and accessibility of glycan microarray
experiments to the general scientific community.",NIGMS,1R21GM122632-01,1,R21,GM,1,,2016-09-01,2018-08-31,Special Emphasis Panel[ZRG1 IMST-L (50)],,"SONG, XUEZHENG ",Not Applicable,5,BIOCHEMISTRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2016-09-01,2018-08-31,,310.0,Non-SBIR/STTR,2016,605280.0,,OD,194000.0,108640.0,,302640.0,"glycan, microarray, sequencing",1,0,0
Place characteristics & disparities in HIV in IDUs: A multilevel analysis of NHBS,Behavioral and Social Science; Clinical Research; Drug Abuse (NIDA only); HIV/AIDS; Health Services; Infectious Diseases; Prevention; Substance Abuse," NIDA, the CDC, the National HIV/AIDS Strategy, and Healthy People 2020 have all prioritized eliminating racial/ethnic disparities in HIV and in HIV-related health service use, and have called for research and interventions into the ways in which place characteristics create and perpetuate these disparities. The proposed study responds to these calls by (a) identifying US geographic areas that have high or increasing disparities in a range of
HIV-related health and health service outcomes among injectors, and (b) generating new knowledge about how a variety of previously unstudied but potentially important place characteristics relate to these disparities. Results will help target resources and interventions t high-need geographic areas, and will support the development of new interventions and policies to eliminate disparities in HIV-related health and health service outcomes among injectors.   
   
   
      

",NIDA,1R01DA035101-01,1,R01,DA,1,,2013-02-01,2020-01-31,Behavioral and Social Science Approaches to Preventing HIV/AIDS Study Section[BSPH],,"COOPER, HANNAH LF",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2013-02-01,2020-01-31,,279.0,Non-SBIR/STTR,2013,2881112.0,,NIDA,509208.0,228255.0,,737463.0,"HIV, IDUs, multilevel analysis",0,0,0
Poldip2 and the Brain Endothelial Barrier Function: Understanding Mechanisms that Regulate the Blood Brain Barrier Integrity,Brain Disorders; Cerebrovascular; Genetics; Neurosciences; Stroke,"PROJECT NARRATIVE
The blood-brain barrier (BBB) formed by the cerebrovascular endothelial cells is necessary for normal brain
function. Endothelial barrier opening and the consequent BBB disruption occurs in many brain diseases,
leading to leakage of blood components into the brain, edema formation, and potentially death. Genetic
deletion of the newly identified protein Poldip2 protects against endothelial barrier opening and brain edema
formation, and this proposal investigates the underlying cellular and molecular mechanisms with a goal
towards developing new therapies.",NINDS,1R01NS127964-01A1,1,R01,NS,1,A1,2023-09-21,2028-05-31,Integrative Vascular Physiology and Pathology Study Section[IVPP],,"HERNANDES, MARINA SORRENTINO",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2023-09-21,2025-05-31,,853.0,Non-SBIR/STTR,2023,806971.0,,NINDS,261338.0,147656.0,,408994.0,"Poldip2, Endothelial Barrier, Blood Brain Barrier",0,0,0
"Prenatal Cannabis: Effects on Developmental Milestones, Disinhibition, and Substance Initiation","Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Cannabinoid Research; Conditions Affecting the Embryonic and Fetal Periods; Drug Abuse (NIDA only); Endocannabinoid System Research; Mental Health; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Pregnancy; Preterm, Low Birth Weight and Health of the Newborn; Prevention; Substance Misuse","Project Narrative
The proposed project will expand our understanding of the impacts of prenatal cannabis exposure during infancy,
childhood, and adolescence. The ensuing studies will help inform early identification of individuals impacted by
cannabis exposure during pregnancy as well as guidelines and interventions for mothers and their children.",NIDA,1R36DA061555-01,1,R36,DA,1,,2024-07-01,2026-06-30,Special Emphasis Panel[ZRG1 F18-E (20)],,"IKEDA, AMI SALA",Not Applicable,5,PSYCHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2024-07-01,2025-06-30,,279.0,Non-SBIR/STTR,2024,37308.0,,NIDA,34544.0,2764.0,,37308.0,"Prenatal, Cannabis, Development",0,0,0
Family Life and Child Obesity: Interactions that Matter,Behavioral and Social Science; Nutrition; Obesity; Pediatric; Prevention,"  Childhood obesity is associated with poorer physical and mental health and social wellbeing. Previous studies and interventions have indicated that the family environment is important for healthy weight in children, but in order to reduce increases in child obesity, a better understanding is needed of specifically how the family environment affects children's weight trajectories, which individuals within the home are important, and what home-based activities really affect weight and bring about weight change in children. This study will inform research and policy about the extent to which children's health behavior and weight are shaped by the family and about the expected value of involving the family or promoting family activities as part of interventions to prevent and reverse obesity among children. Public   
    

",NICHD,1R03HD060602-01A2,1,R03,HD,1,A2,2011-01-01,2013-12-31,"Health, Behavior, and Context Study Section[CHHD-M]",,"ARGESEANU CUNNINGHAM, SOLVEIG ",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2011-01-01,2013-12-31,,865.0,Non-SBIR/STTR,2011,155000.0,,NICHD,50000.0,27500.0,,77500.0,"Child obesity, family interactions",0,0,0
Genomic characterization of a nonhuman primate model for AIDS research,Biotechnology; Genetics; HIV/AIDS; Human Genome; Infectious Diseases,"
Project Narrative
Nonhuman primates are a unique genetic resource for studying disease progression to AIDS. The goal of this
project is to characterize and compare the genomic properties of two closely-related model species used in
AIDS research as a means to identify genetic mechanisms that can suppress disease progression in HIV-
infected individuals.",NIAID,1R21AI089093-01,1,R21,AI,1,,2010-09-01,2013-08-31,AIDS Molecular and Cellular Biology Study Section[AMCB],,"THOMAS, JAMES W",Not Applicable,5,GENETICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-09-01,2013-08-31,,855.0,Non-SBIR/STTR,2010,424313.0,,NIAID,150000.0,82500.0,,232500.0,"genomic, primate, AIDS",21,"Artiva Biotherapeutics, Inc.; GC Cell Corporation; Georgia Tech Research Corporation; Genentech, Inc.; The General Hospital Corporation; Esperion Therapeutics, Inc.; Affimed Gmbh",7
Human GRIA variants and neurological diseases: from molecular mechanism to rescue pharmacology,Mental Health; Neurosciences,"Modified Narrative
AMPA receptors (AMPARs) mediate communication between neurons and thus play important roles in normal brain functions and various neurological and neuropsychiatric disorders. Genetic variations of AMPAR GRIA genes have been identified in individuals with profound neurodevelopmental problems, including autism and/or intellectual disability, and GRIA2 and GRIA3 genes have been proposed to have genome-wide significance for autism and schizophrenia. We will determine functional changes of these GRIA2 and GRIA3 variants, as well as their pharmacological profiles, which provide not only the first opportunity to understand the molecular mechanism and targeted therapeutic strategies for these neuropsychiatric disorders arising from GRIA variants, but also new structural and functional insights into the AMPAR function.",NIMH,1R21MH127404-01,1,R21,MH,1,,2021-08-01,2024-06-30,Developmental Brain Disorders Study Section[DBD],,"YUAN, HONGJIE ",Not Applicable,5,PHARMACOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-08-01,2024-06-30,,242.0,Non-SBIR/STTR,2021,430323.0,,NIMH,125000.0,70573.0,,195573.0,"GRIA, neurological diseases, pharmacology",0,0,0
SIREN - CORE-EM HUB ALLIANCE,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Emergency Care; Health Services; Injury (total) Accidents/Adverse Effects; Neurosciences,"The CORE-EM Alliance (COalition for REsearch in Emergency Medicine) brings to SIREN six highly
experienced research infrastructures, each with their own 5 spokes, partnering to create an innovative single
super hub in the 10-hub SIREN network. The goal of CORE-EM is to provide a highly functioning infrastructure
for rapid implementation and high quality performance of large pragmatic clinical trials for a wide variety of
emergency conditions including, neurology, cardiovascular, respiratory, hematologic, and trauma related
emergencies. CORE-EM is committed to being an extraordinary partner for SIREN with a focus on conducting
rigorous trials and assessments of novel therapeutic interventions in an aim to improve the lives of our
patients.
e",NINDS,1U24NS100673-01,1,U24,NS,1,,2017-07-15,2023-01-31,Special Emphasis Panel[ZNS1 SRB-G (09)],,"WRIGHT, DAVID W","CAIRNS, CHARLES B;JONES, ELIZABETH B.;MERCK, LISA H;PAPA, LINDA ;SELKER, HARRY P.",5,EMERGENCY MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2017-07-15,2023-01-31,,853.0,Other Research-Related,2017,781421.0,,NINDS,162050.0,90748.0,,252798.0,"CORE, EM, HUB",4,"Cypress Semiconductor Corporation; Novelis Inc; Radius Group, Llc (Dba Banklabs)",3
Structural Studies of Ribosome Regulation,Genetics,"PUBLIC HEALTH RELEVANCE: The goal of this project is to understand how the genetic code is regulated during translation from RNA to protein. We are interested in how cells have evolved ways to either prevent genomic errors or use a newly discovered quality control mechanism to avoid various disease states that can arise.     
      

",NIGMS,2R01GM093278-06A1,2,R01,GM,6,A1,2010-06-01,2019-08-31,Macromolecular Structure and Function C Study Section[MSFC],,"DUNHAM, CHRISTINE M",Not Applicable,5,BIOCHEMISTRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2015-09-01,2019-08-31,,859.0,Non-SBIR/STTR,2015,1560589.0,,NIGMS,259175.0,104845.0,,364020.0,"Ribosome, Regulation, Structural",0,0,0
"Arsenic Metabolism, Menopause and Diabetes in the Strong Heart Study",Aging; Cardiovascular; Clinical Research; Diabetes; Estrogen; Health Disparities; Heart Disease; Infectious Diseases; Minority Health; Neurosciences; Women's Health,"Leveraging the robust research environment at Emory University, this application will explore the pathways
underlying the influence of biological sex in the manifestations of infectious diseases using HIV as a model,
with the hope of shedding additional light on the pathology and the pathogenesis underlying sex-mediated
responses to chronic infections in order to enhance the development of interventions that take these factors
into account. Through its leadership administrative and Career Enhancement cores, it will advance sex/gender
science at Emory University and the Southeast region.",NIA,3U54AG062334-04S1,3,U54,AG,4,S1,2018-09-30,2023-05-31,Special Emphasis Panel[ZRG1(70)-R],,"OFOTOKUN, IGHOVWERHA ","LAHIRI, CECILE DELILLE",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-09-15,2022-05-31,,866.0,Research Centers,2021,220454.0,,OD,140903.0,79551.0,,220454.0,"Arsenic, Metabolism, Diabetes",0,0,0
Berberine downregulates MDM2 by interaction with DAXX in cancer cells,Cancer; Complementary and Alternative Medicine; Orphan Drug,"
Project narrative
We have found that BBR specifically and strongly inhibits MDM2 expression and induces activation of p53,
which results in potent apoptosis of wt-p53/MDM2-overexpressing cancer cells, including those that were
resistant to a conventional chemotherapeutic drug. In this study, we will elucidate the molecular mechanism by
which BBR downregulates MDM2, which we have reason to believe involves inhibition of DAXX and eventual
initiation of apoptosis through a previously unutilized drug development corridor. Importantly, we will
investigate whether the natural product BBR could be used as an effective therapeutic reagent in the treatment
of pediatric and refractory cancer patient populations.",NCI,1R01CA143107-01,1,R01,CA,1,,2010-01-01,2016-12-31,Drug Discovery and Molecular Pharmacology Study Section[DMP],,"ZHOU, MUXIANG ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-01-01,2016-12-31,,395.0,Non-SBIR/STTR,2010,1541453.0,,NCI,207500.0,114125.0,,321625.0,"Berberine, MDM2, DAXX",0,0,0
Integrating Costs Into Shared Decision-Making for Heart Failure with Reduced Ejection Fraction,No NIH Category available,"PROJECT NARRATIVE
 The proposed project addresses a critical barrier in achieving patient-centered, shared decision-making
regarding treatment of congestive heart failure: incorporation of out of pocket costs. The project focuses on
the particular clinical decision about use of sacubutril-valsartan, a novel drug for heart failure that is effective
and guideline-recommended but has highly variable and often significant out-of-pocket costs. Capitalizing on
the strengths of an experienced multi-disciplinary team, we will: 1) observe the way that this decision is
discussed and the extent to which cost is incorporated in practice; 2) assess the impact of both how the
decision is framed and the amount of out of pocket cost on patient preferences regarding this drug; and 3)
conduct a trial to examine the impact of providing point-of-care patient-specific cost estimates on cost-sensitive
shared decision-making.",AHRQ,1R01HS026081-01,1,R01,HS,1,,2018-08-01,2024-05-31,Healthcare Systems and Values Research[HSVR],,"DICKERT, NEAL WORKMAN",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-08-01,2024-05-31,,226.0,Non-SBIR/STTR,2018,1928068.0,,AHRQ,272022.0,126167.0,,398189.0,"heart failure, decision-making, ejection fraction",0,0,0
