Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Grova, Christophe",McGill University,Quebec,Operating Grant,201309MOP,Medical Physics & Imaging,Multimodal identification of the neurovascular coupling within the epileptogenic network,"$486,582 ", $-   , $-   ,,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",EPILEPSY; IMAGING; NERVOUS SYSTEM,4/1/2014,2018-03-31,0,"neurovascular, coupling, epileptogenic"
"Cheriet, Farida",Polytechnique Montreal,Quebec,Project Grant,201709PJT,Biomedical Engineering,Multimodal Image-based Simulation Tool to Support Decision-Making in Scoliosis Surgery,"$420,750 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,Biomedical Engineering-Biomedical Imaging,4/1/2018,2021-03-31,0,"Multimodal, Image-based, Scoliosis"
"Kadoury, Samuel",Polytechnique Montreal,Quebec,Project Grant,202010PJT,Medical Physics & Imaging,Multimodal Sensing Guidewire with Random Optical Gratings by Ultraviolet laser Exposure for Peripheral Vascular Interventions,"$543,150 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2021,2026-03-31,0,"Sensing, Guidewire, Optical Gratings"
"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,201903PJT,Medical Physics & Imaging,Multiphoton Photothermolysis Based Laser Therapy for Precision Treatment of Neovascular Eye Diseases,"$711,451 ", $-   , $-   ,,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Biomedical Engineering-Biomedical Imaging; Neurosciences-Sensory Systems (including visual, auditory and pain)",10/1/2019,2023-09-30,0,"Multiphoton, Photothermolysis, Laser"
"Boulanger, Pierre B",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Multiview Ultrasound Fusion for Cardiac and Non-cardiac Imaging,"$244,296 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,"CARDIOLOGY; STROKE, HEART FAILURE; IMAGING; CARDIOVASCULAR",4/1/2016,2019-03-31,1,"Ultrasound, Fusion, Imaging"
"Minden, Mark D",University Health Network (Toronto),Ontario,Project Grant,201709PJT,Cancer Progression & Therapeutics 2,Mutant nucleophosmin AML a heterogeneous disease: characterization and drug sensitivity.,"$688,500 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Genetics-Molecular and Functional Genetics and Epigenetics; Molecular, Cellular and Systems Biology-Cell Biology and Physiology",4/1/2018,2023-03-31,0,"nucleophosmin, AML, drug sensitivity"
"Huntsman, David G",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Progression & Therapeutics,Mutations in the SWI/SNF chromatin remodelling complex genes: an alternative mechanism for ovarian carcinogenesis,"$541,640 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"NEOPLASMS; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2010,2014-09-30,2,"SWI/SNF, chromatin remodelling, ovarian carcinogenesis"
"Fitzpatrick, Lindsay","Queen's University (Kingston, Ontario)",Ontario,Project Grant,201809PJT,Biomedical Engineering,MyD88-dependent modulation of host response to insulin infusion cannulas,"$443,700 ", $-   , $-   ,,4 yrs 0 mth ,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Immunology and Autoimmune Diseases (including rheumatology); Molecular, Cellular and Systems Biology-Cell Signaling",4/1/2019,2023-03-31,0,"MyD88, insulin infusion, host response"
"Buckstein, Rena J","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant - PA: Cancer Research (bridge funding),201103IC1,Cancer Biology & Therapeutics,"Myelodysplastic Syndromes (MDS) in Canada:  A national prospective study of the epidemiology, quality of life and impact of co-morbidity/frailty on disease outcome","$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,BLOOD; EPIDEMIOLOGY; CANCER; HEALTH RESEARCH,10/1/2011,2012-09-30,0,"Myelodysplastic Syndromes, epidemiology, co-morbidity"
"Reisner, Walter W",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Nanoconfinement Based Single-Cell Cytogenetic Platform for Pre-/Post-Implantation Genetic Diagnosis,"$219,185 ", $-   , $-   ,,3 yrs 0 mth ,Genetics,"PREGNANCY/BIRTH; MULTIDISCIPLINARY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",4/1/2013,2016-03-31,0,"Nanoconfinement, Single-Cell, Cytogenetics"
