Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Gulak, Glenn",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,A Wireless CMOS Device for Rapid Point-of-Care Diagnosis of Bacterial Infections and Antibiotic Susceptibility Profiling,"$677,527 ", $-   , $-   ,,3 yrs 0 mth ,Infection and Immunity,HEALTH CARE DELIVERY; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; BACTERIOLOGY,4/1/2014,2017-03-31,1,"Wireless, CMOS, Bacterial Infections"
"Zhou, Youwen",University of British Columbia,British Columbia,Operating Grant,201103MOP,Cancer Progression & Therapeutics 2,Abnormal Activation of Thymocytes High-Mobility Group Box Protein (TOX) in Cutaneous T Cell Lymphomas: Pathogenic Significance and Clinical Applications,"$340,314 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; BLOOD; CANCER; MOLECULAR BIOLOGY,10/1/2011,2014-09-30,2,"Thymocytes, TOX, T Cell Lymphomas"
"Kamen, Amine",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Acceleration and Intensification of Cell Culture-Produced Influenza Vaccines for Rapid Response to Pandemic Situation,"$371,615 ", $-   , $-   ,,3 yrs 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; BIOCHEMISTRY; VIROLOGY,4/1/2017,2020-03-31,2,"cell culture, influenza vaccines, pandemic"
"Dumoulin, Chantal","CIUSSS du Centre-Sud-de-l'ele-de-Montreal (Montreal, Quebec)",Quebec,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,"Acceptability, user experience and effect of a new mobile app, 'OUPS!', a FemTech solution designed for the treatment of urinary incontinence in menopausal women: a mixed method study","$149,489 ", $-   , $-   ,,1 yr 0 mth ,Gender and Health,"MUSCULO SKELETAL; RENAL FUNCTION, NEPHROLOGY, UROLOGY; MUSCLE, BONE, OR JOINT",2/1/2024,2025-01-31,0,"mobile app, urinary incontinence, FemTech"
"Haji Reza, Parsin",University of Waterloo (Ontario),Ontario,Project Grant,202403PJT,Biomedical Engineering,Accurate Retinal Oximetry for the Pre-Symptomatic Diagnosis of Major Blinding Diseases,"$757,350 ", $-   , $-   ,,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","Molecular, Cellular and Systems Biology-Molecular Biology; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,2029-09-30,0,"Retinal oximetry, diagnosis, blinding diseases"
"Collins, Donald L",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Achieving precision in Image-guided Neurosurgery via an open source collaborative software environment,"$650,227 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; BRAIN TUMORS (INCL. RETINAL TUMORS); IMAGING; NERVOUS SYSTEM,4/1/2018,2021-03-31,0,"Image-guided, Neurosurgery, Software"
"Xiang, Jim",University of Saskatchewan,Saskatchewan,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Acombined early and late HIV-1 protein-specific exosome-targeted T cell vaccine capable of stimulating HIV-1 specific CD8+ CTL responses in absence of CD4+ T cells and counteracting immune suppression.,"$89,482 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; HEALTH RESEARCH,10/1/2009,2010-09-30,0,"HIV-1, exosome, T cell"
"Burns, Peter N","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant,201109MOP,Medical Physics & Imaging,Acoustically activated submicron droplets of liquid perfluorocarbon as a new contrast agent for ultrasound imaging,"$360,706 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,NEOPLASMS; BREAST CANCER; IMAGING; BIOPHYSICS,4/1/2012,2016-03-31,0,"acoustically activated, submicron droplets, ultrasound imaging"
"Takahata, Kenichi",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Active Stent Based Endohyperthermia System for Inhibition of In-Stent Restenosis,"$325,935 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); ATHEROSCLEROSIS; CARDIOVASCULAR; NOT CLASSIFIED,4/1/2014,2017-03-31,0,"Stent, Endohyperthermia, Restenosis"
"Ferri, Lorenzo",McGill University,Quebec,Operating Grant,201103MOP,Cancer Progression & Therapeutics 2,Acute bacterial infection promotes cancer metastasis through toll like receptor signal transduction,"$497,573 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,LUNG CANCER; PNEUMONIA; CANCER,10/1/2011,2015-09-30,0,"bacterial infection, toll like receptor, metastasis"
"Duchesne, Simon",Universite Laval,Quebec,Operating Grant: Methodological Innovations for Neuroimaging Datasets,201304OMI,Methodological Innovations for Neuroimaging Datasets,AD ontological architecture for neuroimaging datawarehouse: merging and establishing anatomical normative data from 17 datasets,"$212,868 ","$10,000 ", $-   ,,3 yrs 0 mth ,Aging,ALZHEIMER'S DISEASE; MULTIDISCIPLINARY; AGING; IMAGING,10/1/2013,2016-09-30,0,"ontology, neuroimaging, datawarehouse"
"Wouters, Bradly",University Health Network (Toronto),Ontario,Operating Grant,200903MOP,Cancer Biology & Therapeutics,Adaptation to hypoxia in cancer through the unfolded protein response,"$845,046 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; CELL BIOLOGY,10/1/2009,2014-09-30,0,"hypoxia, unfolded protein response, cancer"
"Pineau, Joelle",McGill University,Quebec,Operating Grant,200903MOP,Biomedical Engineering,Adaptive stimulation strategies for the treatment of epileptic syndromes in vivo,"$180,000 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",EPILEPSY; NERVOUS SYSTEM,10/1/2009,2012-09-30,0,"adaptive, stimulation, epileptic"
"Pinthus, Jehonathan H",McMaster University,Ontario,Operating Grant - PA: Cancer Research (bridge funding),200809IC1,Cancer Progression & Therapeutics,Adiponectin Signaling in Cancer,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; OBESITY; CANCER; ENDOCRINOLOGY,1/1/2009,2009-12-31,0,"Adiponectin, Signaling, Cancer"
"Duval, Michel","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,201903PJT,Cancer Progression & Therapeutics,Adoptive transfers of in vitro differentiated plasmacytoid dendritic cells to prevent acute lymphoblastic leukemia relapse: mechanisms and biomarkers of sensitivity,"$673,200 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Cancer-Pediatric Cancer; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",10/1/2019,2023-09-30,0,"dendritic cells, leukemia, biomarkers"
"Weng, Andrew P",University of British Columbia,British Columbia,Operating Grant,201203MOP,Cancer Progression & Therapeutics 2,Adult vs. Fetal Programs in Leukemia Pathogenesis,"$351,308 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER,10/1/2012,2015-09-30,0,"Leukemia, Pathogenesis, Fetal"
"Sage, Andrew T",University Health Network (Toronto),Ontario,Project Grant,202209PJT,Biomedical Engineering 2,Advanced Artificial Intelligence for Human Ex Vivo Lung Perfusion using Digital Twins,"$726,750 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Artificial Intelligence-Machine Learning; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cardiovascular, Respiratory and Circulatory Systems-Respiratory Sciences",4/1/2023,2028-03-31,1,"Artificial Intelligence, Lung Perfusion, Digital Twins"
"Amon, Cristina",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Advanced Bioreactors for Evaluation and Systematic Optimization of Decellularization and Recellularization of the Lung and Trachea,"$291,825 ","$52,100 ", $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,MULTIPLE DISEASE RELEVANCE; CHRONIC OBSTRUCTIVE LUNG DISEASE; HEALTH RESEARCH; RESPIRATION,4/1/2018,2021-03-31,0,"Bioreactors, Decellularization, Recellularization"
"Macgowan, Christopher K",Hospital for Sick Children (Toronto),Ontario,Project Grant,202303PJT,Medical Physics & Imaging,Advanced Fetal MRI Methods to Evaluate Prenatal Organ Development and Predict Postnatal Outcome in Congenital Heart Disease,"$1,048,050 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biomedical Imaging; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",10/1/2023,2028-09-30,0,"Fetal MRI, Prenatal Organ Development, Congenital Heart Disease"
"Sled, John G",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201303MOP,Medical Physics & Imaging,Advanced MRI methods for early detection and characterization of placental dysfunction and the monitoring of therapy,"$470,585 ", $-   , $-   ,,3 yrs 0 mth ,"Human Development, Child and Youth Health",PREGNANCY/BIRTH; MULTIDISCIPLINARY,10/1/2013,2016-09-30,0,"MRI, placental dysfunction, detection"
"Boyd, Steven K",University of Calgary,Alberta,Project Grant,201809PJT,Medical Physics & Imaging,Advanced multi-modal imaging to monitor progressive joint adaptation in the knee following an acute ligament injury,"$925,650 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomedical Imaging; Musculoskeletal Health-Bone, Skin and Cartilage Sciences",4/1/2019,2024-03-31,0,"multi-modal imaging, joint adaptation, ligament injury"
"Ju, MyeongJin",University of British Columbia,British Columbia,Project Grant,202210PJT,Medical Physics & Imaging,Advanced Multi-parametric Retinal Imaging for AMD Classification Modeling,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Aging,Biomedical Engineering-Biomedical Imaging; Aging-Aging Process and Biological Determinants of Aging; Methods Development and Modelling-Quantitative Methods Development for Health Research,4/1/2023,2024-03-31,0,"Retinal imaging, AMD, classification"
"Shadgan, Babak",University of British Columbia,British Columbia,Project Grant,202303PJT,Biomedical Engineering,Advanced optical monitoring of free tissue transfer hemodynamics,"$669,376 ", $-   , $-   ,,4 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Services and Systems-Emergency Care and Critical Care",10/1/2023,2027-09-30,0,"optical, monitoring, hemodynamics"
"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202309DCP,Medical Physics & Imaging,Advanced Raman Spectroscopy for Exhaled Breath Analysis for Lung Cancer Detection,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Cardiovascular, Respiratory and Circulatory Systems-Respiratory Sciences",3/1/2024,2025-02-28,0,"Raman spectroscopy, exhaled breath, lung cancer"
"Harvey, Edward J",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201804PJT,Biomedical Engineering,Advanced sensors for acute and chronic brain injury,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2018,2019-09-30,0,"sensors, brain injury"
"Drangova, Maria",Western University (Ontario),Ontario,Operating Grant,201103MOP,Medical Physics & Imaging,Advanced techniques for image assisted cardiac interventions,"$822,596 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; IMAGING; CARDIOVASCULAR,10/1/2011,2016-09-30,3,"image, cardiac, interventions"
"Tyrrell, D. Lorne J",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Advancing a Potent Inhibitor of SARS-CoV-2 3CL Protease into Clinical Trials,"$904,236 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIRAL; DRUG RESEARCH,6/1/2020,2021-05-31,2,"SARS-CoV-2, 3CL Protease, Inhibitor"
"Schreiner, L. John","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,201103MOP,Medical Physics & Imaging,Advancing gel dosimetry for clinical radiation therapy,"$369,252 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NONE OF THE ABOVE; CANCER; IMAGING,10/1/2011,2016-09-30,0,"gel, dosimetry, radiation"
"Schreiner, L. John","Queen's University (Kingston, Ontario)",Ontario,Operating Grant - PA: Cancer Research (bridge funding),201009IC1,Medical Physics & Imaging,Advancing gel dosimetry for clinical radiation therapy,"$60,388 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NONE OF THE ABOVE; CANCER; IMAGING,3/1/2011,2012-02-29,0,"gel, dosimetry, radiation"
"Gueziri, Houssem-Eddine",Universite TeLUQ (Quebec),Quebec,Project Grant,202403PJT,Biomedical Engineering,Advancing Neurosurgery Training: A Realistic Simulation Platform with Sensorless Force Feedback Tutoring,"$493,426 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Biomedical Engineering-Biomedical Imaging; Methods Development and Modelling-Quantitative Methods Development for Health Research,10/1/2024,2029-09-30,0,"Neurosurgery, Simulation, Force Feedback"
"Purdie, Thomas G",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Advancing Personalized Cancer Care with an Automated Radiomics-Based Radiation Therapy Method,"$276,283 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; BIOPHYSICS,4/1/2017,2020-03-31,1,"Radiomics, Radiation Therapy, Cancer"
"Franklin, Daniel",University of Toronto,Ontario,Project Grant,202403PJT,Biomedical Engineering,Advancing Pulse Oximetry Accuracy and Equity through Wearable Spectroscopy Devices,"$879,750 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,2029-09-30,0,"Pulse Oximetry, Spectroscopy, Wearable"
"Rink, Alexandra",University Health Network (Toronto),Ontario,Project Grant,202209PJT,Medical Physics & Imaging,AI Assisted Organ and Target Segmentation for Cervix Brachytherapy Treatment Planning,"$837,675 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Clinical Oncology; Biomedical Engineering-Biomedical Imaging; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2023,2028-03-31,0,"AI, Organ Segmentation, Brachytherapy"
"Morin, Ryan D","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202203PJT,Cancer Progression & Therapeutics 2,All roads lead to Rome: Tracing the evolutionary paths to diffuse large B-cell lymphoma,"$1,017,450 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Genetics-Genomics, Transcriptomics and Proteomics",10/1/2022,2027-09-30,0,"B-cell lymphoma, tracing, evolutionary"
"Perrin, David M",University of British Columbia,British Columbia,Project Grant,201709PJT,Cancer Progression & Therapeutics 2,Alpha-amanitin: synthetic derivatives for applications in targeted therapy,"$405,452 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Cancer-Cancer Drug Development and Therapeutics; Medicinal Chemistry",4/1/2018,2022-03-31,6,"alpha-amanitin, synthetic derivatives, targeted therapy"
"Reilly, Raymond M",University of Toronto,Ontario,Project Grant,202104PJT,Cancer Progression & Therapeutics,Alpha-Particle Radioimmunotherapy of Brain Metastases from HER2-Positive Breast Cancer,"$581,400 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",10/1/2021,2025-09-30,0,"Alpha-particle, Radioimmunotherapy, Brain metastases"
"Basik, Mark",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202403PJT,Cancer Progression & Therapeutics 2,Altering the gut microbiome in Triple- negative breast cancer: a pilot study,"$1,510,875 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,3/1/2024,2025-02-28,0,"gut microbiome, breast cancer, triple-negative"
"Basik, Mark",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant - PA: Breast Cancer Research,202309PLL,Cancer Biology & Therapeutics 2,Altering the gut microbiome in Triple- negative breast cancer: a pilot study,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,3/1/2024,2025-02-28,0,"gut microbiome, breast cancer, triple-negative"
