Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Development of novel pan-inhibitors of the androgen receptor variants as effective therapeutics for castration-resistant prostate cancer,160000,0,,1,,Cancer Research,PROSTATE AND BLADDER CANCER; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,2015-10-01,1,2016-09-30
"Wu, Xiao Yu S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical evaluation of multifunctional polymer nanoparticles for targeted brain cancer therapy,160000,0,309984,1,4,Cancer Research,BRAIN TUMORS THERAPY; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CANCER,2014-04-01,1,2015-03-31
"Wu, Xiao Yu S",University of Toronto,Ontario,Project Grant,201809PJT,Commercialization,Development of a Smart Tumor-Activated Nanodiagnostic System for Sensitive Detection of Solid Tumors and Metastases,470475,0,,3,,Cancer Research,Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging,2019-04-01,1,2022-03-31
"Yang, Victor X",Toronto Metropolitan University,Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Doppler Optical Coherence Tomography for Intraoperative Imaging During Skull Base Neurosurgical Procedures,149984,0,308414,1,2,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; BIOPHYSICS,2010-04-01,1,2011-03-31
"Yang, Victor X",Toronto Metropolitan University,Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Integrated Surgical Lighting and Navigation System,156230,2200,,1,,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MULTIDISCIPLINARY; IMAGING; MUSCLE, BONE, OR JOINT",2013-10-01,1,2014-09-30
"Yanow, Stephanie K",University of Alberta,Alberta,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,A field-deployable malaria and fever diagnostic system,143250,0,303250,1,2,Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; INTERNATIONAL HEALTH,2014-04-01,1,2015-03-31
"Yanow, Stephanie K",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Long-term preservation of a whole parasite malaria vaccine for storage and delivery in the tropics,160000,0,,1,,Infection and Immunity,INFECTIOUS AND PARASITIC; BLOOD; INTERNATIONAL HEALTH; HEALTH RESEARCH,2015-04-01,1,2016-03-31
"Yokota, Toshifumi",University of Alberta,Alberta,Project Grant,202203PJT,Commercialization,Commercializing a novel platform for delivery of antisense oligonucleotide-mediated therapy,1009800,0,1009800,5,5,Genetics,Genetics-Clinical Genetics,2022-10-01,1,2027-09-30
"Yoo, Paul",University of Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Minimally-Invasive Method of Selectively Activating Posterior Tibial Nerve Afferents for Treating Overactive Bladder,155800,4000,159800,1,1,Aging,"GENITO/URINARY SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2015-10-01,1,2016-09-30
"Young, Robert N","Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a novel conjugate drug for local delivery in bone grafts: Efficacy study on vascularization and osteogenesis after local delivery in a dental implant jaw model,157500,0,157500,1,1,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; DENTAL SCIENCE - Oral Biology,2015-04-01,1,2016-03-31
"Yousef, George M",Unity Health Toronto,Ontario,Project Grant,201809PJT,Commercialization,Development of the first pre-operative serum exosomal miRNA test to guide treatment decision in prostate cancer,573752,0,573752,4,4,Cancer Research,Cancer-Cancer Progression and Metastasis,2019-04-01,1,2023-03-31
"Yudin, Andrei",University of Toronto,Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Arrays of constrained histone tail mimetics for the development of epigenetic anticancer drugs,85712,74288,160000,1,1,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2011-10-01,1,2012-09-30
"Zaugg, Michael",University of Alberta,Alberta,Project Grant,202303PJT,Commercialization,"Vegaven, a novel lipid emulsion with unique superior biological actions designed for parenteral nutrition",818550,0,818550,3,3,"Nutrition, Metabolism and Diabetes",Commercialization-Intellectual Property,2023-10-01,1,2026-09-30
"Zeng, Haishan",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,Development of a laser Raman spectroscopy system for melanoma detection,244071,48211,663112,1,9,Cancer Research,MULTIDISCIPLINARY; SKIN AND SUBCUTANEOUS TISSUS; CANCER; IMAGING,2011-04-01,1,2012-03-31
"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,Real-time Endoscopic Raman Spectroscopy for Improving Dysplasia/Colorectal Cancer Detection in Patients with Inflammatory Bowel Diseases,508724,0,,4,,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",2018-04-01,1,2022-03-31
"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,202104PJT,Commercialization,Autofluorescence Imaging Guided Laser Raman Spectroscopy for Non-invasive Oral Cancer Detection,742051,0,,4,,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Musculoskeletal Health-Oral Health",2021-10-01,1,2025-09-30
"Zhang, Li",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,A new cellular immunotherapy to treat acute myeloid leukemia,183670,35500,370830,1,5,Cancer Research,MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; CANCER,2015-10-01,1,2016-09-30
"Zhang, Li",University Health Network (Toronto),Ontario,Project Grant,201903PJT,Commercialization,"Developing a platform for ""off-the-shelf"" CAR-T cell therapies for cancer using double negative T cells",703800,0,,4,,Cancer Research,Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2019-10-01,1,2023-09-30
"Zhou, Youwen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A diagnostic test for cutaneous T cell lymphomas,151660,0,151660,1,1,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; BLOOD; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2012-10-01,1,2013-09-30
,,,,,,,,,,,,,,2017-01-01,0,
